,temp,hour_rain,total_rain,date,humidity,wind_direction,wind,wind_gust,pressure,solar,dewpoint,station
0,12.0,0.0,0.0,2019-04-30 22:04:51,13.0,239.0,6.9,9.3,996.5,0.0,-15.6,IDRSING3
1,12.0,0.0,0.0,2019-04-30 22:09:39,14.0,253.0,6.4,9.3,996.2,0.0,-14.7,IDRSING3
2,12.1,0.0,0.0,2019-04-30 22:14:43,14.0,237.0,6.1,7.2,996.5,0.0,-14.6,IDRSING3
3,12.1,0.0,0.0,2019-04-30 22:19:47,15.0,329.0,5.5,5.5,996.8,0.0,-13.8,IDRSING3
4,12.1,0.0,0.0,2019-04-30 22:24:51,15.0,283.0,8.7,11.1,996.5,0.0,-13.8,IDRSING3
5,12.1,0.0,0.0,2019-04-30 22:29:39,15.0,225.0,6.9,7.2,996.5,0.0,-13.8,IDRSING3
6,12.1,0.0,0.0,2019-04-30 22:34:43,16.0,228.0,7.2,11.1,996.5,0.0,-13.0,IDRSING3
7,12.2,0.0,0.0,2019-04-30 22:39:47,17.0,234.0,6.9,9.3,996.5,0.0,-12.1,IDRSING3
8,12.2,0.0,0.0,2019-04-30 22:44:51,17.0,336.0,4.0,5.5,996.8,0.0,-12.1,IDRSING3
9,12.0,0.0,0.0,2019-04-30 22:49:39,17.0,324.0,9.3,13.0,996.5,0.0,-12.3,IDRSING3
10,11.8,0.0,0.0,2019-04-30 22:54:43,17.0,324.0,9.0,11.1,996.5,0.0,-12.5,IDRSING3
11,12.0,0.0,0.0,2019-04-30 22:59:47,16.0,259.0,5.0,5.5,996.5,0.0,-13.0,IDRSING3
12,11.7,0.0,0.0,2019-04-30 23:04:51,16.0,7.0,4.7,7.2,996.5,0.0,-13.3,IDRSING3
13,11.5,0.0,0.0,2019-04-30 23:09:39,15.0,242.0,2.9,3.5,996.5,0.0,-14.2,IDRSING3
14,11.1,0.0,0.0,2019-04-30 23:14:43,15.0,220.0,2.6,3.5,996.5,0.0,-14.6,IDRSING3
15,10.9,0.0,0.0,2019-04-30 23:19:47,14.0,231.0,2.1,3.5,996.5,0.0,-15.6,IDRSING3
16,10.1,0.0,0.0,2019-04-30 23:24:51,12.0,219.0,0.0,0.0,996.5,0.0,-18.0,IDRSING3
17,9.4,0.0,0.0,2019-04-30 23:29:39,11.0,223.0,1.8,1.8,996.2,0.0,-19.6,IDRSING3
18,9.1,0.0,0.0,2019-04-30 23:34:43,11.0,224.0,1.4,1.8,996.5,0.0,-19.8,IDRSING3
19,8.9,0.0,0.0,2019-04-30 23:39:47,10.0,201.0,1.4,1.8,996.2,0.0,-21.1,IDRSING3
20,8.6,0.0,0.0,2019-04-30 23:44:51,10.0,204.0,1.8,1.8,996.2,0.0,-21.3,IDRSING3
21,8.4,0.0,0.0,2019-04-30 23:49:39,10.0,222.0,2.1,3.5,996.2,0.0,-21.5,IDRSING3
22,8.4,0.0,0.0,2019-04-30 23:54:43,10.0,216.0,1.8,1.8,996.5,0.0,-21.5,IDRSING3
23,8.7,0.0,0.0,2019-04-30 23:59:47,10.0,210.0,1.8,1.8,996.5,0.0,-21.3,IDRSING3
24,8.7,0.0,0.0,2019-05-01 00:04:51,10.0,208.0,2.1,3.5,996.2,0.0,-21.3,IDRSING3
25,8.8,0.0,0.0,2019-05-01 00:09:39,10.0,212.0,1.4,1.8,996.2,0.0,-21.2,IDRSING3
26,9.1,0.0,0.0,2019-05-01 00:14:43,11.0,250.0,3.5,3.5,996.5,0.0,-19.8,IDRSING3
27,9.3,0.0,0.0,2019-05-01 00:19:47,11.0,209.0,1.4,1.8,996.5,0.0,-19.7,IDRSING3
28,9.4,0.0,0.0,2019-05-01 00:24:51,11.0,214.0,1.8,1.8,996.5,0.0,-19.6,IDRSING3
