,temp,hour_rain,total_rain,date,humidity,wind_direction,wind,wind_gust,pressure,solar,dewpoint,station
0,-3.7,0.0,0.0,2019-11-30 23:00:04,67.0,187.0,0.0,0.0,1016.5,0.0,-9.0,IDRSING3
1,-3.8,0.0,0.0,2019-11-30 23:05:24,67.0,187.0,0.0,0.0,1016.5,0.0,-9.1,IDRSING3
2,-3.9,0.0,0.0,2019-11-30 23:10:12,67.0,187.0,0.0,0.0,1016.5,0.0,-9.2,IDRSING3
3,-4.2,0.0,0.0,2019-11-30 23:15:00,67.0,187.0,0.0,0.0,1016.5,0.0,-9.5,IDRSING3
4,-4.2,0.0,0.0,2019-11-30 23:20:04,67.0,187.0,0.0,0.0,1016.5,0.0,-9.5,IDRSING3
5,-4.4,0.0,0.0,2019-11-30 23:25:08,67.0,188.0,0.0,0.0,1016.5,0.0,-9.6,IDRSING3
6,-4.1,0.0,0.0,2019-11-30 23:30:12,67.0,186.0,0.0,0.0,1016.5,0.0,-9.4,IDRSING3
7,-4.0,0.0,0.0,2019-11-30 23:35:00,67.0,186.0,0.0,0.0,1016.5,0.0,-9.3,IDRSING3
8,-3.9,0.0,0.0,2019-11-30 23:40:04,67.0,180.0,0.0,0.0,1016.5,0.0,-9.2,IDRSING3
9,-4.1,0.0,0.0,2019-11-30 23:45:08,67.0,180.0,0.0,0.0,1016.5,0.0,-9.4,IDRSING3
10,-4.3,0.0,0.0,2019-11-30 23:50:12,67.0,180.0,0.0,0.0,1016.5,0.0,-9.5,IDRSING3
11,-4.5,0.0,0.0,2019-11-30 23:55:00,67.0,184.0,0.0,0.0,1016.5,0.0,-9.7,IDRSING3
12,-4.4,0.0,0.0,2019-12-01 00:00:04,67.0,183.0,0.0,0.0,1016.5,0.0,-9.6,IDRSING3
13,-4.3,0.0,0.0,2019-12-01 00:05:08,67.0,148.0,1.1,1.8,1016.5,0.0,-9.5,IDRSING3
14,-4.5,0.0,0.0,2019-12-01 00:10:12,67.0,156.0,0.0,0.0,1016.8,0.0,-9.7,IDRSING3
15,-4.6,0.0,0.0,2019-12-01 00:15:00,66.0,167.0,0.0,0.0,1016.5,0.0,-10.0,IDRSING3
16,-4.7,0.0,0.0,2019-12-01 00:20:04,66.0,167.0,0.0,0.0,1016.5,0.0,-10.1,IDRSING3
17,-4.7,0.0,0.0,2019-12-01 00:25:08,66.0,180.0,0.0,0.0,1016.5,0.0,-10.1,IDRSING3
18,-4.7,0.0,0.0,2019-12-01 00:30:12,66.0,173.0,0.0,0.0,1016.5,0.0,-10.1,IDRSING3
19,-4.5,0.0,0.0,2019-12-01 00:35:00,66.0,160.0,0.0,0.0,1016.5,0.0,-9.9,IDRSING3
20,-4.7,0.0,0.0,2019-12-01 00:40:04,66.0,169.0,0.0,0.0,1016.5,0.0,-10.1,IDRSING3
21,-4.9,0.0,0.0,2019-12-01 00:45:08,66.0,177.0,0.0,0.0,1016.5,0.0,-10.3,IDRSING3
22,-5.0,0.0,0.0,2019-12-01 00:50:12,66.0,177.0,0.0,0.0,1016.5,0.0,-10.4,IDRSING3
23,-5.1,0.0,0.0,2019-12-01 00:55:00,66.0,177.0,0.0,0.0,1016.5,0.0,-10.5,IDRSING3
24,-5.1,0.0,0.0,2019-12-01 01:00:04,66.0,220.0,1.4,1.8,1016.5,0.0,-10.5,IDRSING3
25,-5.0,0.0,0.0,2019-12-01 01:05:08,66.0,207.0,0.0,0.0,1016.5,0.0,-10.4,IDRSING3
26,-5.0,0.0,0.0,2019-12-01 01:10:12,66.0,203.0,0.0,0.0,1016.1,0.0,-10.4,IDRSING3
27,-5.2,0.0,0.0,2019-12-01 01:15:00,66.0,200.0,0.0,0.0,1016.5,0.0,-10.6,IDRSING3
28,-5.2,0.0,0.0,2019-12-01 01:20:04,66.0,200.0,0.0,0.0,1016.5,0.0,-10.6,IDRSING3
29,-5.0,0.0,0.0,2019-12-01 01:25:08,66.0,194.0,0.0,0.0,1016.1,0.0,-10.4,IDRSING3
30,-5.0,0.0,0.0,2019-12-01 01:30:12,66.0,194.0,0.0,0.0,1016.1,0.0,-10.4,IDRSING3
31,-5.2,0.0,0.0,2019-12-01 01:35:00,66.0,177.0,0.0,0.0,1016.1,0.0,-10.6,IDRSING3
