,MinT,MaxT,MeanT,TotR,TotS
2022-01-01,4.5000,14.1100,11.4248,0.0000,0.6902
2022-01-02,-0.2200,11.7200,5.2226,0.0000,0.7582
2022-01-03,0.7800,12.5600,8.0552,0.0000,0.9110
2022-01-04,6.1100,9.2800,7.5493,2.5400,0.3725
2022-01-05,2.7800,8.9400,5.9987,1.0200,0.2175
2022-01-06,-2.8900,6.2200,2.0819,0.0000,0.8736
2022-01-07,-8.1100,3.1700,-2.9605,0.0000,0.7758
2022-01-08,-6.6100,1.7800,-1.9767,0.0000,0.5574
2022-01-09,-6.2200,0.2800,-2.2325,0.0000,0.3526
2022-01-10,-1.3900,3.2800,0.3599,0.2500,0.6583
2022-01-11,-3.5000,0.8900,-1.2452,0.0000,0.8324
2022-01-12,-5.7800,-1.2200,-3.4828,0.0000,0.5025
2022-01-13,-5.2200,3.6100,-0.0080,0.0000,0.7945
2022-01-14,-4.5000,9.6100,2.3578,0.0000,0.9025
2022-01-15,-5.1100,7.0600,2.0284,0.0000,0.9429
2022-01-16,-7.2800,4.0600,-1.5755,0.0000,0.8987
2022-01-17,1.2800,6.3300,4.0313,2.5400,0.3666
2022-01-18,-2.8900,4.3900,0.7874,0.0000,1.0228
2022-01-19,-7.0000,4.8300,-1.4024,0.0000,0.9723
2022-01-20,-1.2800,6.8900,1.9878,0.0000,0.7184
2022-01-21,-3.0000,1.2200,-0.7470,0.0000,1.0443
2022-01-22,-5.0600,3.0000,0.4579,0.5100,0.7325
2022-01-23,-5.8900,1.5000,-0.9993,0.7600,0.4246
2022-01-24,-0.6100,1.7800,0.2040,0.0000,0.8717
2022-01-25,-0.7800,3.2800,1.1128,0.0000,0.5693
2022-01-26,1.2200,3.1100,1.9794,0.0000,0.5559
2022-01-27,0.4400,7.6100,3.0560,0.0000,1.2844
2022-01-28,2.2200,6.6100,4.0490,0.0000,1.0894
2022-01-29,-1.9400,6.7200,2.5411,2.0300,0.7821
2022-01-30,4.0000,8.2200,6.3514,0.2500,1.4277
2022-01-31,1.2200,5.2800,3.3019,0.7600,0.6712
2022-02-01,0.5000,5.0600,2.1878,2.7900,1.2214
2022-02-02,1.7800,7.4400,4.5083,0.2500,1.3080
2022-02-03,1.8900,8.0600,4.7700,0.0000,1.3483
2022-02-04,0.2200,7.1700,3.9070,0.0000,0.4242
2022-02-05,-1.7200,7.0000,3.8434,0.0000,1.1988
2022-02-06,-1.6100,10.0000,4.8553,0.0000,0.7424
2022-02-07,2.5000,7.5000,,0.5100,1.4705
2022-02-08,3.1100,8.2200,,0.0000,1.2954
2022-02-09,-1.6100,12.9400,6.7360,0.0000,1.5145
2022-02-10,-3.8900,14.0000,5.0375,0.0000,1.6157
2022-02-11,3.1100,8.2200,5.7241,3.8100,0.5684
2022-02-12,-2.0000,8.6100,3.3106,0.0000,1.8346
2022-02-13,-0.2800,8.2800,3.2320,0.0000,1.7750
2022-02-14,-2.8900,9.3900,3.4475,0.0000,1.7336
2022-02-15,-4.2800,11.3900,,0.0000,1.8148
2022-02-16,1.9400,12.7800,7.3033,0.7600,1.7688
2022-02-17,6.1100,15.3300,9.7671,3.8100,1.6455
2022-02-18,5.2200,13.1100,8.5652,1.5200,1.3348
2022-02-19,-2.1700,12.0000,7.5746,0.0000,1.8933
2022-02-20,-3.3300,11.7800,6.0990,0.0000,1.7049
2022-02-21,1.4400,8.7800,6.0072,1.5200,0.7102
2022-02-22,-0.2800,9.0000,5.0954,0.0000,1.3579
2022-02-23,-2.0000,11.7800,,0.7600,2.5989
2022-02-24,-5.3900,13.7200,5.2034,0.0000,2.3322
2022-02-25,-2.2800,9.0600,4.2597,0.0000,1.8764
2022-02-26,-3.9400,8.2800,2.4807,0.5100,2.1209
2022-02-27,-1.7800,9.6100,,0.0000,2.3711
2022-02-28,-3.0000,5.7800,1.0112,0.0000,2.3737
2022-03-01,-6.4400,8.3900,0.5512,0.0000,2.4653
2022-03-02,-5.0600,7.6100,0.8657,0.0000,2.4911
2022-03-03,-8.3300,7.5600,0.7498,0.0000,2.5198
2022-03-04,-3.9400,6.1700,1.0355,0.0000,2.5618
2022-03-05,-3.0000,6.6700,1.7410,0.0000,1.5304
2022-03-06,-3.3900,3.7800,0.1805,0.0000,1.6426
2022-03-07,-2.5600,4.3900,0.7685,0.0000,1.6794
2022-03-08,-7.0600,7.8900,1.3462,0.0000,3.0850
2022-03-09,-6.1700,11.7200,3.2533,0.0000,2.9171
2022-03-10,-4.0600,8.7200,2.7366,0.0000,3.0070
2022-03-11,-10.0600,6.3900,-1.9687,0.0000,3.0007
2022-03-12,-9.8300,8.0000,0.4626,0.0000,3.1158
2022-03-13,-3.3300,11.8300,4.7223,0.0000,3.1810
2022-03-14,-2.0600,15.0600,6.8512,0.0000,3.0779
2022-03-15,-4.6100,15.7200,7.0247,0.5100,2.2147
2022-03-16,1.5000,10.3300,7.0875,2.7900,1.0817
2022-03-17,-2.6100,13.1100,4.1202,0.0000,2.1575
2022-03-18,-2.0000,14.7800,5.0182,0.0000,2.3289
2022-03-19,-0.7200,12.7200,5.2252,0.0000,2.5343
2022-03-20,-4.1100,10.6100,4.5447,0.0000,2.5773
2022-03-21,-8.6100,13.1700,2.8084,0.0000,2.7637
2022-03-22,-7.0000,18.3900,4.8752,0.0000,2.8436
2022-03-23,-6.1100,21.7800,7.3422,0.0000,2.8998
2022-03-24,-4.4400,19.8900,8.6760,0.0000,2.8408
2022-03-25,-3.1700,18.5000,8.1314,0.0000,2.9051
2022-03-26,-2.7200,18.5600,9.7698,0.0000,2.9709
2022-03-27,1.5000,16.8300,11.0281,0.0000,3.2221
2022-03-28,-3.4400,21.1100,8.8457,0.0000,3.2365
2022-03-29,0.6700,21.0000,12.3515,0.0000,2.8056
2022-03-30,7.0000,17.3300,11.9620,0.0000,2.2056
2022-03-31,3.5000,10.1100,6.4780,9.6500,0.7227
2022-04-01,1.7800,4.8900,3.2689,1.2700,1.0902
2022-04-02,0.2200,3.9400,2.0100,0.5100,1.3299
2022-04-03,-2.4400,5.2800,2.1915,0.2500,3.2014
2022-04-04,-3.0600,9.7200,3.2894,0.0000,4.4711
2022-04-05,4.7800,11.0600,7.8245,1.7800,2.9370
2022-04-06,7.5000,20.1700,13.4867,0.0000,4.3960
2022-04-07,9.6700,18.7200,13.6137,2.2900,4.0623
2022-04-08,9.0600,14.3900,12.0280,2.7900,2.3929
2022-04-09,1.1100,10.8300,7.8815,1.5200,1.8159
2022-04-10,0.5000,10.2200,5.0378,0.0000,4.9476
2022-04-11,-2.2200,13.5000,5.1791,0.0000,4.8761
2022-04-12,-2.8300,17.9400,8.0351,0.0000,4.8434
2022-04-13,-0.7800,20.0600,10.7387,0.0000,4.7961
2022-04-14,3.3900,22.6100,14.0109,0.0000,4.7555
2022-04-15,6.8900,20.2200,12.4783,4.3200,3.6295
2022-04-16,5.7800,10.5600,8.3049,0.0000,2.0480
2022-04-17,1.1700,13.0000,7.2071,0.0000,5.2155
2022-04-18,-3.2800,14.4400,,0.0000,4.1703
2022-04-19,2.4400,10.5000,6.4031,3.0500,2.2491
