,MinT,MaxT,MeanT,TotR,TotS
2024-01-01,1.72,9.33,4.87004181184669,3.3,0.8033591666666666
2024-01-02,-0.22,5.17,3.5612717770034843,3.56,0.3186375
2024-01-03,2.67,13.67,8.204567944250872,2.03,0.9301283333333333
2024-01-04,3.89,11.11,8.121859243697479,0.0,0.4523625
2024-01-05,-1.0,9.89,3.2192160278745643,0.0,0.6635891666666667
2024-01-06,-0.78,5.39,3.483933797909408,23.37,0.132635
2024-01-07,-4.11,2.0,-1.4693867595818815,1.02,0.3612575
2024-01-08,-8.11,-4.11,-5.947334494773519,0.0,0.2493
2024-01-09,-10.22,-2.5,-7.788397212543554,0.0,0.7892666666666667
2024-01-10,-11.5,2.33,-6.356202090592334,0.0,0.796275
2024-01-11,-9.61,-0.22,-4.7804006968641115,0.0,0.7926166666666666
2024-01-12,-2.33,1.22,,0.0,0.6679083333333333
2024-01-13,-3.78,-0.06,,0.0,0.34228166666666665
2024-01-14,-2.67,2.44,-0.7167839721254354,0.0,0.8890116666666666
2024-01-15,-4.72,3.28,-0.5209303135888501,0.0,0.7827316666666667
2024-01-16,-5.78,3.28,-0.16081881533101036,0.0,0.7294175
2024-01-17,-9.89,3.17,-2.776961672473868,0.0,0.7143966666666667
2024-01-18,0.28,5.72,2.8242578397212545,5.33,0.5644
2024-01-19,-3.44,0.94,-0.41551567944250867,0.0,0.742505
2024-01-20,-7.06,2.5,-1.7523588850174217,0.0,1.0281316666666667
2024-01-21,-9.11,5.17,-2.6716435024322442,0.0,0.9787625
2024-01-22,-8.44,4.33,-1.0947456445993031,1.78,0.8853916666666667
2024-01-23,-1.22,8.11,2.2431463414634147,0.76,1.2582633333333333
2024-01-24,-0.11,13.44,5.893236933797909,3.56,0.7812716666666667
2024-01-25,5.5,9.61,7.607864656381485,0.0,1.0616458333333334
2024-01-26,0.5,6.89,4.228773519163763,3.81,0.6739241666666667
2024-01-27,2.0,6.5,4.586924147529575,0.0,1.3520183333333333
2024-01-28,-3.72,7.17,1.8520313588850175,0.0,1.2583325
2024-01-29,-5.72,8.11,0.4059059233449474,0.0,1.26322
2024-01-30,-2.22,7.5,2.329662020905923,0.0,1.31579
2024-01-31,-4.39,3.61,-0.06159930313588847,0.0,0.8317291666666666
2024-02-01,-1.22,6.83,3.0842160278745645,2.03,0.40551583333333335
2024-02-02,1.0,8.5,4.713348432055749,0.0,1.3022333333333334
2024-02-03,1.94,11.56,8.307933797909408,0.0,1.3097991666666666
2024-02-04,6.5,10.89,8.778648083623695,0.0,0.9356458333333333
2024-02-05,6.44,13.89,10.463845080251222,0.0,1.3105583333333333
2024-02-06,4.33,11.72,8.39787062937063,0.0,1.0312666666666668
2024-02-07,4.56,12.94,9.08315331010453,0.0,0.5200666666666667
2024-02-08,1.94,12.89,7.75712543554007,1.27,0.9578583333333334
2024-02-09,5.61,13.06,9.026480836236933,0.0,1.0489166666666667
2024-02-10,1.72,17.33,10.911324041811847,0.0,1.3623416666666666
2024-02-11,6.11,11.22,9.029529616724739,4.83,0.4166166666666667
2024-02-12,2.72,11.89,7.723641114982579,0.0,1.5857166666666667
2024-02-13,-1.06,9.94,6.101010452961672,0.0,1.5559166666666666
2024-02-14,-3.67,11.61,3.747648083623693,0.0,1.532375
2024-02-15,1.89,12.44,7.381324041811847,0.0,0.8419916666666667
2024-02-16,0.94,14.28,8.727160278745645,0.25,1.989525
2024-02-17,0.61,10.83,5.676550522648084,0.76,0.9117666666666666
2024-02-18,1.33,12.17,6.72505574912892,0.0,2.13075
2024-02-19,-0.39,12.06,6.993484320557491,1.27,1.1695666666666666
2024-02-20,3.83,12.33,7.917299651567944,0.0,1.6681083333333333
2024-02-21,0.22,11.67,7.134808362369338,0.25,1.368125
