,MinT,MaxT,MeanT,TotR,TotS
2020-03-21,0.7200,10.7200,5.5865,1.7800,1.1304
2020-03-22,-3.4400,4.8900,0.5602,0.0000,3.4860
2020-03-23,-4.5000,4.6700,0.3241,0.0000,3.3848
2020-03-24,-4.5000,8.1700,1.4019,0.0000,3.3884
2020-03-25,-6.0000,5.7200,0.2947,0.0000,2.7164
2020-03-26,-4.7800,12.8900,5.3074,0.0000,2.1635
2020-03-27,-0.7200,18.5000,9.0351,0.0000,3.4806
2020-03-28,-1.7200,18.7200,9.4816,0.0000,3.5047
2020-03-29,-0.7200,14.7200,8.1932,0.0000,3.4483
2020-03-30,-2.4400,6.3300,2.6905,0.0000,3.9254
2020-03-31,-5.8900,7.5600,,0.2500,4.0728
2020-04-01,-5.1100,9.2800,1.3589,0.0000,4.7110
2020-04-02,-8.1100,13.5600,3.4311,0.0000,4.7427
2020-04-03,-4.1100,15.1700,6.6027,0.0000,4.3855
2020-04-04,-1.3300,14.9400,7.2732,0.0000,4.9253
2020-04-05,1.3300,19.7200,9.1647,0.0000,5.0240
2020-04-06,-1.2800,19.5600,10.6422,0.0000,4.9350
2020-04-07,2.1700,20.3900,12.2470,0.0000,5.3297
2020-04-08,-3.3900,21.3300,9.9474,0.0000,5.3999
2020-04-09,-2.6100,23.4400,11.4178,0.0000,5.2940
2020-04-10,5.7200,19.6700,13.3086,0.0000,5.5436
2020-04-11,1.8300,18.8300,10.8263,0.0000,5.2706
2020-04-12,0.1700,23.4400,11.9852,0.0000,5.5017
2020-04-13,5.0000,22.6700,12.3242,3.8100,3.4205
2020-04-14,1.7800,9.6100,5.7827,0.0000,5.2190
2020-04-15,-3.7200,15.6700,6.4806,0.0000,5.4939
2020-04-16,-1.3900,23.6100,11.1913,0.0000,5.8129
2020-04-17,2.1100,24.7800,15.0598,0.0000,5.6271
2020-04-18,9.2800,22.6100,15.4854,0.5100,5.4673
2020-04-19,6.0000,16.0000,11.4544,3.8100,2.4960
2020-04-20,1.4400,18.0600,10.3186,0.0000,5.9131
2020-04-21,0.6100,19.0600,10.2883,0.0000,5.9717
2020-04-22,0.0600,19.6700,10.6834,0.0000,5.9895
2020-04-23,-0.4400,20.2800,11.2116,0.0000,6.0679
2020-04-24,0.8300,22.8900,12.4536,0.0000,5.5678
2020-04-25,6.1700,17.7200,13.0087,0.0000,6.0767
2020-04-26,-0.7800,18.5600,9.4062,0.0000,6.2320
2020-04-27,0.2800,22.1700,12.1691,0.0000,6.2768
2020-04-28,7.3300,25.6100,16.9926,0.5100,6.2674
2020-04-29,8.8900,18.3300,14.1215,0.0000,2.8238
2020-04-30,7.0000,24.2200,15.9102,0.0000,6.2318
2020-05-01,10.5000,20.1100,14.9414,1.5200,4.8533
2020-05-02,7.3300,19.3300,13.4014,3.0500,6.2641
2020-05-03,4.5000,16.6100,11.0486,0.0000,6.6179
2020-05-04,0.2800,20.8300,11.6696,0.0000,6.1393
2020-05-05,8.2200,17.9400,12.6056,0.5100,6.9592
2020-05-06,3.3900,16.1700,10.1066,0.0000,5.2822
2020-05-07,6.2800,20.8900,13.6575,0.0000,6.7234
2020-05-08,0.6100,25.0000,13.1458,0.0000,6.5067
2020-05-09,6.1100,28.2200,16.8692,0.0000,6.1654
2020-05-10,12.1100,24.8300,18.8944,0.0000,4.8066
2020-05-11,8.1100,24.2800,16.5108,3.3000,4.4042
2020-05-12,3.5600,14.2800,8.3191,0.0000,7.1939
2020-05-13,0.9400,15.0000,8.7434,1.2700,3.1781
2020-05-14,8.2200,16.1700,11.5986,0.0000,4.9925
2020-05-15,5.3900,11.0600,8.7210,24.3800,1.7028
2020-05-16,1.7800,19.3300,10.9482,0.0000,7.6488
2020-05-17,5.7800,22.8900,14.0837,0.0000,6.2879
2020-05-18,5.0000,25.9400,15.7622,0.0000,6.7327
2020-05-19,7.8900,27.1100,18.0689,0.0000,6.1859
2020-05-20,11.2800,22.7200,17.6342,0.0000,7.2686
2020-05-21,7.6700,21.1100,14.5483,0.0000,7.3959
2020-05-22,2.8300,22.4400,14.0057,0.2500,6.7428
2020-05-23,12.1700,19.9400,14.6430,20.8300,2.9489
2020-05-24,10.5600,19.4400,14.2598,0.2500,6.9556
2020-05-25,9.5000,16.8900,12.4916,6.3500,5.1930
2020-05-26,9.6100,17.7800,12.5868,2.0300,5.9643
2020-05-27,7.2200,21.2800,14.2673,0.0000,7.4468
2020-05-28,5.8300,19.2800,12.3318,0.0000,4.3455
2020-05-29,8.8900,18.3900,13.1892,0.0000,4.4134
2020-05-30,5.1100,19.1100,12.4784,1.0200,5.8816
2020-05-31,9.5000,12.5000,11.1808,5.3300,0.8654
2020-06-01,8.2200,23.7800,16.3838,0.0000,7.0545
2020-06-02,5.4400,22.0600,15.0393,3.8100,6.9749
2020-06-03,10.0000,26.1100,17.0517,0.0000,7.8418
2020-06-04,7.3300,26.6100,18.0939,0.0000,6.7909
2020-06-05,10.7800,19.0600,15.5486,6.6000,2.5248
2020-06-06,10.5600,26.1100,19.1667,0.0000,8.2586
2020-06-07,11.7200,29.7200,20.5766,0.7600,7.8409
2020-06-08,11.7200,16.3900,14.3371,0.0000,1.8959
2020-06-09,13.7800,23.8900,16.8233,3.0500,4.8979
2020-06-10,12.1100,19.5600,,23.8800,1.9375
2020-06-11,11.2200,26.5000,18.0785,0.2500,6.3497
2020-06-12,10.6700,28.9400,19.7930,0.0000,6.6850
2020-06-13,13.5000,31.8900,21.7156,0.0000,6.9931
2020-06-14,16.2200,24.2200,19.5716,2.0300,5.7693
2020-06-15,15.3900,25.5000,19.5027,0.0000,7.2108
2020-06-16,12.7200,24.0000,18.5421,0.2500,5.0978
2020-06-17,16.0000,24.4400,19.8516,0.0000,4.4880
2020-06-18,14.8900,21.2800,17.5443,0.2500,2.4114
2020-06-19,13.8900,19.3900,16.8248,0.2500,2.4352
2020-06-20,13.8900,16.0000,15.0228,23.6200,1.3954
2020-06-21,13.3900,16.8900,15.1991,28.1900,1.4987
2020-06-22,14.6100,23.7800,18.9532,0.0000,2.6485
2020-06-23,13.6700,25.1100,19.1374,0.0000,7.6536
2020-06-24,8.7200,22.2200,16.1782,0.0000,6.6292
2020-06-25,8.8300,27.2800,17.9545,0.0000,6.0938
2020-06-26,15.7200,28.6100,21.2167,0.2500,7.1113
2020-06-27,14.6700,32.7200,23.1510,0.0000,6.3584
2020-06-28,16.0600,33.8300,24.1410,0.0000,7.0060
2020-06-29,13.4400,21.5000,18.4820,5.5900,2.1189
2020-06-30,10.6700,28.6100,20.1610,0.0000,7.7836
2020-07-01,12.6700,32.3900,23.3764,0.2500,7.3349
2020-07-02,15.8900,30.5000,22.7681,0.0000,7.1148
2020-07-03,,,,-0.1000,-0.1000
2020-07-04,10.0000,28.0000,20.1192,0.0000,6.7430
2020-07-05,9.8300,30.6100,21.7008,0.0000,7.5309
2020-07-06,13.6700,31.1100,21.8929,1.2700,6.7549
2020-07-07,8.9400,22.3900,17.1886,0.0000,7.6346
2020-07-08,6.3900,29.5600,17.5490,0.2500,7.0519
2020-07-09,14.2200,32.3900,21.4896,0.0000,6.9227
2020-07-10,13.5000,35.2800,25.4392,0.0000,7.2138
2020-07-11,12.2200,23.5000,16.8048,6.3500,2.8104
2020-07-12,9.3300,24.0000,16.2055,0.2500,7.2665
2020-07-13,6.1100,24.7800,16.2356,0.0000,7.2596
2020-07-14,5.3900,27.1700,17.0789,0.0000,6.7877
2020-07-15,7.3900,30.2200,18.4012,7.3700,5.0425
2020-07-16,14.5000,23.7800,17.7256,1.2700,4.5916
2020-07-17,12.2800,23.6100,16.8629,0.5100,5.8785
2020-07-18,12.8900,21.8900,16.3499,21.0800,2.8186
2020-07-19,14.7200,25.4400,19.4616,0.0000,4.3570
2020-07-20,14.0000,30.2200,21.6187,0.0000,5.9960
2020-07-21,14.2200,29.2200,20.4099,4.3200,5.7475
2020-07-22,13.9400,28.3300,20.5950,5.8400,6.8561
2020-07-23,13.4400,29.5600,21.0160,0.0000,6.4950
2020-07-24,13.1100,30.5000,20.8789,0.0000,5.0847
2020-07-25,15.0600,29.3300,21.0479,0.0000,5.7231
2020-07-26,12.0600,29.8300,20.5157,0.0000,4.7863
2020-07-27,12.1100,31.3900,21.5613,0.0000,6.9049
2020-07-28,13.1100,37.2200,25.1024,11.9400,6.6451
2020-07-29,17.2800,29.0600,23.5561,0.2500,5.9065
2020-07-30,13.7800,31.7200,22.6228,0.0000,6.7046
2020-07-31,13.1700,31.8300,22.8977,0.0000,6.5696
2020-08-01,12.9400,30.3900,21.9353,0.0000,6.7192
2020-08-02,11.2200,30.0000,21.6252,0.0000,4.9292
2020-08-03,18.0000,24.8300,19.5664,5.0800,1.7587
2020-08-04,14.7200,19.9400,17.0785,14.9900,1.7160
2020-08-05,14.5000,22.4400,17.7403,0.0000,2.6445
2020-08-06,15.6100,28.8300,,0.0000,6.1837
2020-08-07,16.7200,34.2200,24.2759,0.0000,6.0979
2020-08-08,15.2800,33.8300,24.1414,0.0000,5.9386
2020-08-09,13.7800,34.2200,23.6428,0.0000,5.8345
2020-08-10,15.1100,34.0000,24.2220,0.0000,5.4125
2020-08-11,16.0600,33.0600,21.5667,2.2900,4.0127
