,MinT,MaxT,MeanT,TotR,TotS
2021-01-01,,,,-0.1,-0.1
2021-01-02,,,,-0.1,-0.1
2021-01-03,,,,-0.1,-0.1
2021-01-05,,,,-0.1,-0.1
2021-01-06,-0.5,2.11,,0,0
2021-01-07,-0.89,3.22,0.887146341463415,0,0.65796
2021-01-08,-0.89,3.83,0.442533101045296,0,0.760615
2021-01-09,-1,2.78,0.493498257839721,0,0.572858333333333
2021-01-10,-5.22,-0.56,-2.76717770034843,0,0.404158333333333
2021-01-11,-7.94,-0.28,-4.34702090592335,0.25,0.658416666666667
2021-01-12,-8.39,1.89,-3.72696864111498,0,0.452708333333333
2021-01-13,-0.11,2.56,1.41771777003484,0,0.664075
2021-01-14,-1.94,2.22,0.241951219512195,0,0.958079166666667
2021-01-15,-2.22,2.11,-0.529268292682927,0,0.835520833333333
2021-01-16,-4.22,-1.39,-2.64991289198606,0,0.933408333333333
2021-01-17,-7.94,-1,-3.95162020905923,0,0.783533333333333
2021-01-18,-8.89,-2.56,-5.02348432055749,0,0.497616666666667
2021-01-19,-2.33,4.28,1.94545296167247,1.27,0.856525
2021-01-20,-0.5,8.56,3.74313588850174,0.51,1.01449166666667
2021-01-21,-1.5,3.89,0.751104529616725,0,0.626186666666667
2021-01-22,-1,13.67,8.67803484320558,0.25,0.788903333333333
2021-01-23,1.61,11.17,6.50589198606272,1.52,0.442760833333333
2021-01-24,0,4.89,1.81711699164345,1.52,0.714105
2021-01-25,-0.39,3.89,1.87168641114983,0,0.777154166666667
2021-01-26,-1,3.11,0.555020905923345,0,0.956154166666667
2021-01-27,-3.78,3.5,0.200073170731707,0,1.27761666666667
2021-01-28,-4.67,4.22,0.281766550522648,3.3,0.768775833333333
2021-01-29,0.61,6.33,2.92304529616725,7.37,0.327495
2021-01-30,-0.72,10.5,4.07189547038328,0,0.866866666666667
2021-01-31,-4.78,2.5,-0.968642061281337,0,1.3536
2021-02-01,-7.22,4.67,-2.21090592334495,0,1.105575
2021-02-02,-1.22,5.17,1.22331010452962,0.25,1.04568333333333
2021-02-03,0.78,6.61,3.08322299651568,0.25,0.798008333333333
2021-02-04,-0.5,10.67,7.02637630662021,0,0.66805
2021-02-05,-0.67,8.39,3.78982578397213,0,1.14721666666667
2021-02-06,0.22,3.72,2.11407665505226,0.51,0.329808333333333
2021-02-07,-1.78,3.28,0.475104529616725,0.25,0.1629075
2021-02-08,-4.56,-0.39,-1.99780487804878,0,0.608666666666667
2021-02-09,-5.28,-0.28,-1.86803135888502,0.25,0.4405
2021-02-10,-5.89,0.28,-2.00459930313589,0,0.297383333333333
2021-02-11,-8.06,-4.22,-5.9640243902439,0,1.10961666666667
2021-02-12,-10.67,-3.56,-7.28273519163763,0,1.758425
2021-02-13,-10.94,-1.11,-5.81184668989547,0,1.50708333333333
2021-02-14,-8.22,-0.39,-4.83770034843206,0,1.73208333333333
2021-02-15,-12.22,0.89,-5.5748606271777,0,1.65610833333333
2021-02-16,-4.17,-0.28,-1.69324041811847,0,0.570833333333333
2021-02-17,-0.89,9.67,3.06235540069686,0,1.77451666666667
2021-02-18,-0.94,11.89,4.38399651567944,0,1.7491275
2021-02-19,-0.44,5.78,2.66306968641115,0,0.921940833333333
2021-02-20,-2,1.67,-0.40302787456446,0,0.90161
2021-02-21,0.94,5.11,3.3090487804878,0,0.48622
2021-02-22,0.28,8.22,4.47895470383275,0,1.236025
2021-02-23,-0.5,7.28,2.55334494773519,0.25,1.237325
2021-02-24,-1.5,15.78,4.49754355400697,0,2.07314166666667
2021-02-25,-0.17,16.78,7.13270034843206,0.25,2.30570416666667
2021-02-26,-0.39,17.89,6.31750871080139,0.76,2.04821666666667
2021-02-27,1.28,7,4.76314982578397,0.51,0.910868333333333
2021-02-28,-1.78,8.94,3.27701398601399,0,2.53344666666667
2021-03-01,-2.44,10.17,3.61157839721254,0,2.6889125
2021-03-02,-3.17,13.17,2.62128919860627,0,2.4713125
2021-03-03,-2.89,9.5,2.14791637630662,0.25,1.702225
2021-03-04,-0.94,12.61,5.54078397212544,0,1.175025
2021-03-05,-1.39,4.78,2.52151567944251,2.54,1.440775
2021-03-06,-5.72,6.39,-0.0831533101045296,0,3.12920833333333
2021-03-07,-7.17,9.17,-0.0202787456445993,0,2.96009166666667
2021-03-08,-5.61,5,-0.197334494773519,0,1.71143333333333
2021-03-09,-6.5,7,-0.352247386759582,0,2.82928333333333
2021-03-10,-5.78,7.22,0.159198606271777,0,2.86265833333333
2021-03-11,-5.39,7.89,2.65993031358885,3.81,1.17413333333333
2021-03-12,-0.22,12.39,7.14820557491289,2.29,3.61118333333333
2021-03-13,-0.17,14.06,7.69705574912892,0,2.48589166666667
2021-03-14,2.17,9.28,,0,1.33704166666667
2021-03-15,0.11,9.83,,0,3.13609166666667
2021-03-16,1.06,8.83,4.73742160278746,0,2.170375
2021-03-17,1,8.22,3.66825783972125,1.52,2.579025
2021-03-18,-1.83,7.06,2.23371080139373,0,2.98481666666667
2021-03-19,-4.61,6.56,0.407247386759582,2.54,2.89979583333333
2021-03-20,-4.17,3.17,-0.674756097560976,0,3.37558333333333
2021-03-21,-7.56,2.89,-1.42881533101045,0.51,1.32394166666667
2021-03-22,,,,-0.1,-0.1
2021-03-23,-2.28,8.83,3.91155052264808,0,2.01211666666667
2021-03-24,2.5,7.28,5.3941637630662,0,0.789591666666667
2021-03-25,-2.67,15.72,6.42827526132404,0,3.802725
2021-03-26,-2.06,19.17,9.1305574912892,0,3.86943333333333
2021-03-27,1.28,17.56,10.3595818815331,0,3.21594166666667
2021-03-28,1.56,13.78,7.83658181818182,0,3.67205833333333
