,MinT,MaxT,MeanT,TotR,TotS
2019-01-01,-2.6000,6.7000,2.7805,1.8000,0.2250
2019-01-02,-1.3000,5.2000,2.0697,0.3000,0.4449
2019-01-03,-3.3000,-0.4000,-1.7440,0.0000,0.3861
2019-01-04,-3.9000,0.2000,-2.0910,0.0000,0.5374
2019-01-05,0.3000,3.4000,1.6797,7.1000,0.3396
2019-01-06,-1.3000,2.7000,1.3649,0.0000,0.4235
2019-01-07,-3.6000,-1.1000,-2.3143,0.0000,0.5003
2019-01-08,-2.7000,2.8000,-0.0804,7.1000,0.3919
2019-01-09,0.0000,3.3000,1.4539,2.0000,0.7787
2019-01-10,-1.4000,2.0000,0.2413,0.3000,0.6309
2019-01-11,-2.2000,0.1000,-0.8982,0.0000,0.7283
2019-01-12,-1.2000,3.5000,2.0093,2.5000,0.2903
2019-01-13,1.5000,5.3000,3.2314,4.8000,0.5883
2019-01-14,-2.8000,5.2000,3.0945,1.3000,0.4858
2019-01-15,-3.3000,5.0000,2.0735,0.0000,0.4654
2019-01-16,-0.3000,7.4000,4.0584,0.0000,0.7500
2019-01-17,-3.1000,9.9000,3.0581,0.0000,0.8455
2019-01-18,-6.3000,5.4000,1.9716,0.0000,0.5947
2019-01-19,-8.8000,0.3000,-3.5054,0.0000,0.5425
2019-01-20,-3.3000,0.9000,-0.6909,0.0000,0.5474
2019-01-21,-9.1000,1.8000,-4.3554,0.0000,0.7671
2019-01-22,-10.4000,-2.6000,-6.0177,0.0000,0.4092
2019-01-23,-8.7000,-3.2000,-6.0314,0.0000,0.3844
2019-01-24,-4.2000,-2.8000,-3.4525,0.0000,0.5938
2019-01-25,-4.2000,0.5000,-2.4627,0.0000,0.6631
2019-01-26,-6.8000,1.4000,-1.4582,2.5000,0.3644
2019-01-27,-1.9000,2.8000,0.3011,0.5000,0.8292
2019-01-28,-9.9000,3.0000,-1.1285,3.8000,0.2570
2019-01-29,-14.2000,4.8000,-3.3287,0.3000,1.2736
2019-01-30,-17.4000,2.7000,-6.4693,0.0000,1.0962
2019-01-31,-5.9000,1.9000,-2.4124,0.0000,0.9822
2019-02-01,-0.1000,5.7000,2.4162,1.0000,0.9770
2019-02-02,5.1000,13.3000,8.7438,1.0000,0.7255
2019-02-03,1.1000,9.9000,5.4264,5.8000,0.3666
2019-02-04,-1.8000,2.5000,1.3479,0.0000,0.5355
2019-02-05,-5.3000,3.4000,-1.3728,0.0000,1.1887
2019-02-06,-5.5000,3.3000,-1.5893,0.0000,1.1206
2019-02-07,-8.7000,5.4000,-1.2284,0.0000,1.2254
2019-02-08,-2.8000,9.8000,1.5835,0.3000,1.1927
2019-02-09,-3.4000,7.9000,2.9900,0.0000,1.1284
