,MinT,MaxT,MeanT,TotR,TotS
2020-01-01,-5.1,5.7,0.8138657560658327,0.0,0.6129421805555555
2020-01-02,-7.1,-1.8,-4.686416641501545,0.0,0.4029920611111111
2020-01-03,-8.7,-1.8,-4.266066761908081,0.0,0.1835376972222222
2020-01-04,-3.2,6.0,2.6415164467571084,0.5,0.47606962222222227
2020-01-05,-5.1,4.2,1.2484017840550086,0.0,0.5973869777777778
2020-01-06,-8.2,3.8,-3.679917071244396,0.0,0.6251259777777778
2020-01-07,-8.9,0.5,-3.7644557882388474,0.0,0.513599488888889
2020-01-08,-0.6,6.8,1.8227931611224681,2.5,0.5997274888888888
2020-01-09,-2.1,4.2,1.29150715480394,0.0,0.5461579111111111
2020-01-10,-4.2,1.5,-0.9553057052592455,0.3,0.6305202222222221
2020-01-11,-2.1,6.4,1.8494053149972127,0.0,0.46686195555555554
2020-01-12,-4.5,6.2,0.6937912330421856,0.0,0.6405610374999999
2020-01-13,-4.4,5.0,0.022054998141954715,0.0,0.7208521777777778
2020-01-14,-1.5,-0.4,-1.0187230781734375,0.0,0.21896533333333332
2020-01-15,-1.4,1.3,-0.23221850613154968,0.0,0.28354936666666664
2020-01-16,-4.3,1.9,-0.6328823754833766,0.0,0.4351855777777777
2020-01-17,-4.3,-0.2,-1.7831529501933503,0.0,0.44827582222222223
2020-01-18,-1.8,-0.1,-1.0039576365663323,0.0,0.3045811555555556
2020-01-19,-1.4,2.4,0.9550750046442505,6.6,0.31373962222222224
2020-01-20,-1.9,5.1,1.687300260126347,2.0,0.6267659555555556
2020-01-21,-5.6,1.7,-2.294820377016621,0.3,0.6202236569444445
2020-01-22,-1.9,1.4,-0.7632776203307935,0.0,0.5487430222222222
2020-01-23,-3.9,6.5,0.5987206290579231,0.0,0.8194126222222223
2020-01-24,-3.4,-1.1,-1.549787449040036,0.0,0.15756047083333333
2020-01-25,-1.6,-0.3,-1.097208961984738,0.0,0.2698252666666667
2020-01-26,-1.6,-0.4,-1.1008560112431327,0.3,0.24132802222222222
2020-01-27,-1.9,-0.5,-1.197528340457164,0.0,0.3593906222222223
2020-01-28,-1.4,3.4,0.8512759013194573,2.5,0.5303813111111111
2020-01-29,-0.2,5.5,1.909942389890355,1.5,0.7338579583333333
2020-01-30,2.4,2.9,,0.0,0.0
2020-01-31,,,,-0.1,-0.1
2020-02-01,1.94,16.39,9.105,0.51,1.25415
2020-02-02,4.83,13.22,9.899623693379791,1.52,0.8435133333333333
2020-02-03,7.0,12.17,8.320853658536585,6.86,0.5272666666666667
2020-02-04,2.5,9.72,5.370418118466899,6.86,0.632
2020-02-05,-0.22,4.83,2.696979094076655,0.0,1.0104083333333334
2020-02-06,-3.89,3.83,1.1590418118466899,0.0,1.0051791666666667
2020-02-07,0.22,7.44,3.6653658536585367,0.0,1.245325
2020-02-08,-5.39,6.28,0.41346689895470384,0.0,1.3129333333333333
2020-02-09,-5.39,6.89,,0.0,1.4228083333333332
2020-02-10,1.06,11.72,6.7056445993031355,2.54,0.9235
2020-02-11,1.0,7.94,4.65733449477352,5.84,0.9846416666666666
2020-02-12,0.61,6.83,3.4257491289198607,0.0,1.3747666666666667
2020-02-13,-0.94,8.78,4.843170731707317,0.0,1.6179833333333333
2020-02-14,3.67,10.06,6.710104529616725,0.0,0.8699
2020-02-15,0.67,11.39,6.515418118466899,0.0,1.6934666666666667
2020-02-16,3.83,12.33,8.212578397212544,0.0,1.6650166666666666
2020-02-17,-0.28,7.61,,0.0,0.9457625
2020-02-18,-0.67,11.72,7.405087108013937,0.76,1.7189083333333333
2020-02-19,-2.56,10.61,3.458790940766551,0.51,1.0189333333333332
2020-02-20,2.22,10.06,5.460156794425087,0.0,1.8707916666666666
2020-02-21,-1.56,7.78,4.151254355400697,3.05,1.5269666666666666
2020-02-22,-3.72,13.78,5.105,0.0,2.001175
2020-02-23,6.39,16.33,11.069878048780488,1.27,0.7622416666666667
2020-02-24,4.28,15.56,7.717038327526132,1.78,2.0989833333333334
2020-02-25,2.78,15.83,8.789303135888503,1.02,1.35545
2020-02-26,2.28,8.44,5.85493031358885,0.76,0.8365083333333333
2020-02-27,1.83,8.0,4.747804878048781,0.0,1.813175
2020-02-28,-4.06,7.06,3.1693379790940766,0.25,1.8194666666666666
2020-02-29,-4.11,9.0,4.496358885017422,0.25,1.08415
2020-03-01,2.78,9.5,6.1674564459930314,0.25,0.737375
2020-03-02,5.61,13.94,9.461909407665505,17.02,2.1978641666666667
2020-03-03,5.11,11.78,7.865101045296167,3.05,0.9893916666666667
2020-03-04,-0.22,9.94,5.5998954703832755,0.0,2.27415
2020-03-05,-3.5,11.33,4.78116724738676,0.0,2.41625
2020-03-06,4.28,9.61,6.229163763066202,3.56,1.4585416666666666
2020-03-07,3.44,9.56,6.21198606271777,0.0,1.5822333333333334
2020-03-08,-2.22,10.06,4.135522648083624,0.0,2.5618333333333334
2020-03-09,-3.94,11.89,3.837560975609756,0.0,2.3994916666666666
2020-03-10,1.89,13.0,8.757508710801394,0.0,2.8352833333333334
2020-03-11,7.89,15.72,10.760522648083624,2.03,0.9901333333333333
2020-03-12,7.22,21.28,14.12951219512195,0.0,3.0359
2020-03-13,2.11,13.44,,0.0,1.6873808333333333
2020-03-14,-1.44,10.83,5.6586933797909404,0.0,3.0399166666666666
2020-03-15,-6.5,9.83,3.2625644599303136,0.0,2.95435
2020-03-16,-0.33,13.94,6.890557491289199,0.0,3.038683333333333
2020-03-17,-3.06,13.28,,0.0,1.8895166666666667
2020-03-18,0.06,19.5,8.809216027874564,0.0,2.9492583333333333
2020-03-19,-0.72,20.5,9.488710801393728,0.0,3.0745666666666667
2020-03-20,1.83,21.17,11.118128919860627,0.0,2.9635
2020-03-21,0.72,10.72,5.586515679442509,1.78,1.1303666666666667
2020-03-22,-3.44,4.89,0.5602439024390244,0.0,3.4859833333333334
2020-03-23,-4.5,4.67,0.32414982578397217,0.0,3.384790833333333
2020-03-24,-4.5,8.17,1.4019059233449478,0.0,3.3884166666666666
2020-03-25,-6.0,5.72,0.29473867595818815,0.0,2.7163666666666666
2020-03-26,-4.78,12.89,5.307421602787456,0.0,2.16345
2020-03-27,-0.72,18.5,9.035052264808362,0.0,3.480583333333333
2020-03-28,-1.72,18.72,9.48158536585366,0.0,3.5046916666666665
2020-03-29,-0.72,14.72,8.193218181818182,0.0,3.4483333333333333
2020-03-30,-2.44,6.33,2.6905052264808362,0.0,3.9254166666666666
2020-03-31,-5.89,7.56,,0.25,4.072808333333334
2020-04-01,-5.11,9.28,1.3589024390243902,0.0,4.710991666666667
2020-04-02,-8.11,13.56,3.431090592334495,0.0,4.742749166666667
2020-04-03,-4.11,15.17,6.602700348432056,0.0,4.385516666666667
2020-04-04,-1.33,14.94,7.273153310104529,0.0,4.925283333333334
2020-04-05,1.33,19.72,9.164668989547039,0.0,5.02395
2020-04-06,-1.28,19.56,10.642212543554008,0.0,4.934983333333333
2020-04-07,2.17,20.39,12.247003484320558,0.0,5.329658333333334
2020-04-08,-3.39,21.33,9.947439024390244,0.0,5.399891666666667
2020-04-09,-2.61,23.44,11.417822299651569,0.0,5.293991666666667
2020-04-10,5.72,19.67,13.308554006968642,0.0,5.543633333333333
2020-04-11,1.83,18.83,10.826341463414634,0.0,5.27065
2020-04-12,0.17,23.44,11.985174216027875,0.0,5.501733333333333
2020-04-13,5.0,22.67,12.324233449477353,3.81,3.4204583333333334
2020-04-14,1.78,9.61,5.782700348432056,0.0,5.218989166666667
2020-04-15,-3.72,15.67,6.480592334494774,0.0,5.493908333333334
2020-04-16,-1.39,23.61,11.191289198606272,0.0,5.812941666666666
2020-04-17,2.11,24.78,15.059843205574913,0.0,5.627108333333333
2020-04-18,9.28,22.61,15.4854181184669,0.51,5.467316666666667
2020-04-19,6.0,16.0,11.454355400696864,3.81,2.496008333333333
2020-04-20,1.44,18.06,10.318578397212542,0.0,5.913075
2020-04-21,0.61,19.06,10.288327526132404,0.0,5.9717425
2020-04-22,0.06,19.67,10.683379790940766,0.0,5.989516666666667
