,MinT,MaxT,MeanT,TotR,TotS
2017-01-01,,,,,
2017-01-02,,,,,
2017-01-03,,,,,
2017-01-04,,,,,
2017-01-05,,,,,
2017-01-06,,,,,
2017-01-07,,,,,
2017-01-08,,,,,
2017-01-09,,,,,
2017-01-10,,,,,
2017-01-11,,,,,
2017-01-12,,,,,
2017-01-13,,,,,
2017-01-14,,,,,
2017-01-15,,,,,
2017-01-16,,,,,
2017-01-17,,,,,
2017-01-18,,,,,
2017-01-19,,,,,
2017-01-20,,,,,
2017-01-21,,,,,
2017-01-22,,,,,
2017-01-23,,,,,
2017-01-24,,,,,
2017-01-25,,,,,
2017-01-26,,,,,
2017-01-27,,,,,
2017-01-28,,,,,
2017-01-29,,,,,
2017-01-30,,,,,
2017-01-31,,,,,
2017-02-01,,,,,
2017-02-02,,,,,
2017-02-03,,,,,
2017-02-04,,,,,
2017-02-05,,,,,
2017-02-06,,,,,
2017-02-07,,,,,
2017-02-08,,,,,
2017-02-09,,,,,
2017-02-10,,,,,
2017-02-11,,,,,
2017-02-12,,,,,
2017-02-13,,,,,
2017-02-14,,,,,
2017-02-15,,,,,
2017-02-16,,,,,
2017-02-17,,,,,
2017-02-18,,,,,
2017-02-19,,,,,
2017-02-20,,,,,
2017-02-21,,,,,
2017-02-22,,,,,
2017-02-23,,,,,
2017-02-24,,,,,
2017-02-25,,,,,
2017-02-26,,,,,
2017-02-27,,,,,
2017-02-28,,,,,
2017-03-01,,,,,
2017-03-02,,,,,
2017-03-03,,,,,
2017-03-04,,,,,
2017-03-05,,,,,
2017-03-06,,,,,
2017-03-07,,,,,
2017-03-08,,,,,
2017-03-09,,,,,
2017-03-10,,,,,
2017-03-11,,,,,
2017-03-12,,,,,
2017-03-13,,,,,
2017-03-14,,,,,
2017-03-15,,,,,
2017-03-16,,,,,
2017-03-17,,,,,
2017-03-18,,,,,
2017-03-19,,,,,
2017-03-20,,,,,
2017-03-21,,,,,
2017-03-22,,,,,
2017-03-23,,,,,
2017-03-24,,,,,
2017-03-25,,,,,
2017-03-26,,,,,
2017-03-27,,,,,
2017-03-28,,,,,
2017-03-29,,,,,
2017-03-30,,,,,
2017-03-31,,,,,
2017-04-01,,,,,
2017-04-02,,,,,
2017-04-03,,,,,
2017-04-04,,,,,
2017-04-05,,,,,
2017-04-06,,,,,
2017-04-07,,,,,
2017-04-08,,,,,
2017-04-09,,,,,
2017-04-10,,,,,
2017-04-11,,,,,
2017-04-12,,,,,
2017-04-13,,,,,
2017-04-14,,,,,
2017-04-15,,,,,
2017-04-16,,,,,
2017-04-17,,,,,
2017-04-18,,,,,
2017-04-19,,,,,
2017-04-20,,,,,
2017-04-21,,,,,
2017-04-22,,,,,
2017-04-23,,,,,
2017-04-24,,,,,
2017-04-25,,,,,
2017-04-26,,,,,
2017-04-27,,,,,
2017-04-28,,,,,
2017-04-29,,,,,
2017-04-30,,,,,
2017-05-01,7.8000,17.9000,12.4835,0.0000,4.4077
2017-05-02,5.2000,19.0000,10.9512,1.3000,5.0471
2017-05-03,2.2000,16.7000,9.8372,6.3000,2.0437
2017-05-04,6.5000,19.1000,12.2649,0.3000,4.1784
2017-05-05,7.0000,16.9000,13.1083,0.0000,2.7619
2017-05-06,10.3000,23.5000,16.0290,0.0000,5.2142
2017-05-07,11.3000,20.4000,14.6954,0.5000,3.3874
2017-05-08,6.8000,20.3000,13.7410,0.0000,5.0100
2017-05-09,2.4000,10.1000,7.6469,0.5000,2.5625
2017-05-10,-2.9000,16.5000,7.4568,0.0000,5.8333
2017-05-11,-0.2000,22.8000,13.5018,0.0000,6.1935
2017-05-12,11.0000,23.6000,17.2040,1.8000,4.5952
2017-05-13,9.5000,22.2000,15.0844,8.4000,4.0042
2017-05-14,7.4000,24.7000,15.8323,0.0000,5.5645
2017-05-15,12.9000,21.2000,16.7598,0.0000,3.5619
2017-05-16,8.8000,24.7000,17.1490,0.0000,6.0881
2017-05-17,9.7000,26.1000,18.4126,0.0000,6.2975
2017-05-18,5.8000,26.9000,18.3979,0.0000,6.9869
2017-05-19,15.1000,28.0000,21.8844,0.0000,6.8995
2017-05-20,12.9000,16.5000,,2.8000,0.9635
2017-05-21,11.9000,24.8000,16.9468,1.0000,4.0043
2017-05-22,8.5000,25.2000,17.4012,0.0000,6.6810
2017-05-23,10.4000,25.9000,17.8031,3.3000,5.6680
2017-05-24,7.5000,20.9000,15.4161,1.3000,4.6668
2017-05-25,6.4000,19.7000,,0.0000,2.0039
2017-05-26,5.7000,25.0000,16.0479,0.0000,5.8807
2017-05-27,7.4000,26.1000,,0.0000,6.4019
2017-05-28,5.7000,28.2000,17.6270,0.0000,7.1864
2017-05-29,5.8000,30.7000,19.8826,0.0000,7.0203
2017-05-30,13.0000,33.7000,23.7173,0.0000,6.9626
2017-05-31,17.6000,27.2000,,13.5000,5.2479
2017-06-01,11.9000,26.4000,20.7451,0.0000,6.4716
2017-06-02,8.7000,30.7000,19.5652,0.0000,6.6680
2017-06-03,11.2000,32.1000,21.6753,0.0000,7.1940
2017-06-04,12.7000,28.6000,20.1669,1.3000,4.6191
2017-06-05,11.4000,28.3000,,2.0000,6.9821
2017-06-06,13.4000,29.2000,21.4558,0.0000,5.6914
2017-06-07,10.9000,21.9000,16.0021,0.0000,3.7841
2017-06-08,4.1000,26.1000,15.9252,0.0000,7.1327
2017-06-09,5.5000,29.1000,18.6857,6.6000,7.4364
2017-06-10,11.6000,25.5000,17.6885,11.7000,4.2939
2017-06-11,7.7000,29.0000,18.8531,0.0000,7.3487
2017-06-12,8.9000,32.1000,21.7345,0.0000,6.6285
2017-06-13,13.4000,29.5000,21.3938,0.0000,7.2195
2017-06-14,10.8000,27.5000,19.2311,0.0000,7.0720
2017-06-15,6.8000,31.1000,19.4743,0.0000,7.4413
2017-06-16,11.5000,24.9000,,8.1000,2.6627
2017-06-17,13.7000,18.7000,,1.0000,3.1562
2017-06-18,12.7000,25.5000,,0.0000,4.2785
2017-06-19,9.7000,30.5000,,0.0000,2.7504
2017-06-20,10.4000,33.5000,,0.0000,7.1449
2017-06-21,17.1000,31.9000,,0.0000,5.7925
2017-06-22,14.4000,33.8000,,0.0000,6.7508
2017-06-23,17.5000,32.0000,,3.3000,4.9606
2017-06-24,13.4000,32.8000,,0.0000,6.8667
2017-06-25,15.5000,30.3000,22.1238,1.3000,4.6703
2017-06-26,16.4000,31.0000,23.0706,0.0000,5.6802
2017-06-27,13.0000,31.9000,23.8558,0.0000,4.7386
2017-06-28,19.1000,34.4000,27.0217,0.3000,6.5162
2017-06-29,17.8000,27.2000,22.7615,0.0000,4.8289
2017-06-30,15.5000,28.6000,21.5369,0.0000,6.1382
2017-07-01,15.0000,27.5000,20.4837,0.5000,5.5071
2017-07-02,11.8000,24.8000,18.6591,0.0000,3.2080
2017-07-03,10.7000,25.6000,19.9580,0.3000,6.1058
2017-07-04,6.7000,28.6000,19.0164,0.0000,4.6507
2017-07-05,10.3000,32.6000,22.0259,1.8000,6.6345
2017-07-06,15.1000,31.8000,22.3544,0.0000,6.5881
2017-07-07,12.5000,31.6000,22.7202,0.3000,4.6138
2017-07-08,14.6000,33.1000,24.9513,0.0000,6.0073
2017-07-09,14.3000,33.4000,23.7195,0.0000,5.6886
2017-07-10,16.7000,32.7000,23.6797,6.6000,5.1926
2017-07-11,18.6000,29.1000,22.9874,10.7000,5.2503
2017-07-12,15.0000,29.8000,22.5875,4.1000,5.1933
2017-07-13,10.9000,23.3000,18.7052,1.0000,6.1913
2017-07-14,6.6000,24.1000,16.3793,0.0000,5.1129
2017-07-15,13.0000,20.2000,16.2681,3.8000,3.0975
2017-07-16,7.8000,26.9000,17.5054,0.0000,6.2537
2017-07-17,9.0000,30.3000,20.2713,0.0000,6.4890
2017-07-18,16.3000,33.0000,24.6342,0.0000,6.8568
2017-07-19,13.3000,34.3000,24.1031,0.0000,6.0378
2017-07-20,13.2000,35.3000,24.4269,0.8000,6.5836
2017-07-21,18.4000,31.2000,23.5155,9.1000,5.2632
2017-07-22,15.7000,34.0000,24.3277,0.0000,5.6753
2017-07-23,16.1000,31.6000,23.2898,0.0000,4.4720
2017-07-24,17.6000,26.3000,20.1820,4.8000,2.1543
2017-07-25,15.2000,23.0000,18.6482,0.0000,4.2046
2017-07-26,14.0000,21.8000,17.1393,0.0000,3.2336
2017-07-27,13.9000,22.0000,17.2910,3.8000,2.1974
2017-07-28,14.4000,28.3000,21.3872,0.0000,5.1976
2017-07-29,10.7000,31.2000,21.3791,0.0000,6.6576
2017-07-30,12.8000,34.5000,24.7855,0.0000,6.1339
