,date,Date,Time,temp,dewpoint,humidity,wind_direction,wind,wind_gust,pressure,hour_rain,total_rain,UV,solar,station
0,2021-03-31 22:04:00+00:00,2021/04/01,12:04 AM,9.28,-11.72,21.0,South,0.0,0.0,1022.01,0.0,0.0,0.0,0.0,IDRSING3
1,2021-03-31 22:09:00+00:00,2021/04/01,12:09 AM,8.61,-14.06,19.0,South,0.0,0.0,1022.01,0.0,0.0,0.0,0.0,IDRSING3
2,2021-03-31 22:14:00+00:00,2021/04/01,12:14 AM,8.5,-14.89,17.0,South,0.0,0.0,1022.01,0.0,0.0,0.0,0.0,IDRSING3
3,2021-03-31 22:19:00+00:00,2021/04/01,12:19 AM,8.61,-15.11,17.0,South,0.0,0.0,1022.01,0.0,0.0,0.0,0.0,IDRSING3
4,2021-03-31 22:24:00+00:00,2021/04/01,12:24 AM,8.67,-15.33,17.0,South,0.0,0.0,1022.01,0.0,0.0,0.0,0.0,IDRSING3
5,2021-03-31 22:29:00+00:00,2021/04/01,12:29 AM,8.61,-15.78,16.0,South,0.0,0.0,1022.01,0.0,0.0,0.0,0.0,IDRSING3
6,2021-03-31 22:34:00+00:00,2021/04/01,12:34 AM,8.5,-15.56,17.0,South,0.0,0.0,1021.67,0.0,0.0,0.0,0.0,IDRSING3
7,2021-03-31 22:39:00+00:00,2021/04/01,12:39 AM,8.28,-16.22,16.0,South,0.0,0.0,1021.67,0.0,0.0,0.0,0.0,IDRSING3
8,2021-03-31 22:44:00+00:00,2021/04/01,12:44 AM,8.06,-16.94,15.0,South,0.0,0.0,1021.67,0.0,0.0,0.0,0.0,IDRSING3
9,2021-03-31 22:49:00+00:00,2021/04/01,12:49 AM,7.94,-17.28,15.0,South,0.0,0.0,1021.67,0.0,0.0,0.0,0.0,IDRSING3
10,2021-03-31 22:54:00+00:00,2021/04/01,12:54 AM,8.22,-15.89,16.0,SSE,0.0,0.0,1021.67,0.0,0.0,0.0,0.0,IDRSING3
11,2021-03-31 22:59:00+00:00,2021/04/01,12:59 AM,8.5,-14.72,18.0,South,0.0,0.0,1021.67,0.0,0.0,0.0,0.0,IDRSING3
12,2021-03-31 23:04:00+00:00,2021/04/01,01:04 AM,8.67,-15.0,17.0,SSW,0.0,0.0,1021.67,0.0,0.0,0.0,0.0,IDRSING3
13,2021-03-31 23:09:00+00:00,2021/04/01,01:09 AM,8.78,-14.44,18.0,SSW,0.0,0.0,1021.67,0.0,0.0,0.0,0.0,IDRSING3
14,2021-03-31 23:14:00+00:00,2021/04/01,01:14 AM,8.44,-14.67,18.0,SSW,0.0,0.0,1021.67,0.0,0.0,0.0,0.0,IDRSING3
15,2021-03-31 23:19:00+00:00,2021/04/01,01:19 AM,7.89,-16.0,17.0,SSW,0.0,0.0,1021.33,0.0,0.0,0.0,0.0,IDRSING3
16,2021-03-31 23:24:00+00:00,2021/04/01,01:24 AM,7.61,-16.61,16.0,SSW,0.0,0.0,1021.33,0.0,0.0,0.0,0.0,IDRSING3
17,2021-03-31 23:29:00+00:00,2021/04/01,01:29 AM,7.33,-17.0,16.0,SSW,0.0,0.0,1021.33,0.0,0.0,0.0,0.0,IDRSING3
18,2021-03-31 23:34:00+00:00,2021/04/01,01:34 AM,7.33,-17.72,15.0,SSW,0.0,0.0,1021.33,0.0,0.0,0.0,0.0,IDRSING3
19,2021-03-31 23:39:00+00:00,2021/04/01,01:39 AM,7.67,-17.67,15.0,SSW,0.0,0.0,1021.33,0.0,0.0,0.0,0.0,IDRSING3
20,2021-03-31 23:44:00+00:00,2021/04/01,01:44 AM,7.78,-17.44,14.0,SSW,0.0,0.0,1021.33,0.0,0.0,0.0,0.0,IDRSING3
21,2021-03-31 23:49:00+00:00,2021/04/01,01:49 AM,8.11,-16.83,15.0,South,0.0,0.0,1021.33,0.0,0.0,0.0,0.0,IDRSING3
22,2021-03-31 23:54:00+00:00,2021/04/01,01:54 AM,8.39,-15.44,17.0,South,0.0,0.0,1021.0,0.0,0.0,0.0,0.0,IDRSING3
23,2021-03-31 23:59:00+00:00,2021/04/01,01:59 AM,8.39,-15.17,17.0,South,0.0,0.0,1021.0,0.0,0.0,0.0,0.0,IDRSING3
24,2021-04-01 00:04:00+00:00,2021/04/01,02:04 AM,8.17,-14.17,19.0,South,0.0,0.0,1021.0,0.0,0.0,0.0,0.0,IDRSING3
25,2021-04-01 00:09:00+00:00,2021/04/01,02:09 AM,7.67,-16.33,16.0,SSE,0.0,0.0,1020.66,0.0,0.0,0.0,0.0,IDRSING3
26,2021-04-01 00:14:00+00:00,2021/04/01,02:14 AM,7.83,-16.94,15.0,SSE,0.0,0.0,1020.66,0.0,0.0,0.0,0.0,IDRSING3
27,2021-04-01 00:19:00+00:00,2021/04/01,02:19 AM,8.0,-16.11,16.0,SSE,0.8,1.29,1020.66,0.0,0.0,0.0,0.0,IDRSING3
28,2021-04-01 00:24:00+00:00,2021/04/01,02:24 AM,8.0,-15.89,17.0,South,0.0,0.0,1020.66,0.0,0.0,0.0,0.0,IDRSING3
29,2021-04-01 00:29:00+00:00,2021/04/01,02:29 AM,7.67,-16.0,17.0,South,0.16,0.48,1020.66,0.0,0.0,0.0,0.0,IDRSING3
30,2021-04-01 00:34:00+00:00,2021/04/01,02:34 AM,6.94,-16.94,16.0,South,0.0,0.0,1020.66,0.0,0.0,0.0,0.0,IDRSING3
31,2021-04-01 00:39:00+00:00,2021/04/01,02:39 AM,6.56,-17.61,15.0,South,0.0,0.0,1020.66,0.0,0.0,0.0,0.0,IDRSING3
32,2021-04-01 00:44:00+00:00,2021/04/01,02:44 AM,6.28,-17.0,15.0,South,0.16,0.32,1020.66,0.0,0.0,0.0,0.0,IDRSING3
33,2021-04-01 00:49:00+00:00,2021/04/01,02:49 AM,6.17,-16.22,14.0,South,0.0,0.0,1020.66,0.0,0.0,0.0,0.0,IDRSING3
34,2021-04-01 00:54:00+00:00,2021/04/01,02:54 AM,6.44,-15.78,13.0,South,0.0,0.0,1020.66,0.0,0.0,0.0,0.0,IDRSING3
35,2021-04-01 00:59:00+00:00,2021/04/01,02:59 AM,6.56,-16.5,14.0,South,0.0,0.0,1020.66,0.0,0.0,0.0,0.0,IDRSING3
36,2021-04-01 01:04:00+00:00,2021/04/01,03:04 AM,6.39,-16.39,14.0,South,0.0,0.0,1020.66,0.0,0.0,0.0,0.0,IDRSING3
37,2021-04-01 01:09:00+00:00,2021/04/01,03:09 AM,6.33,-16.33,14.0,SSE,0.0,0.16,1020.66,0.0,0.0,0.0,0.0,IDRSING3
