,date,Date,Time,temp,dewpoint,humidity,wind_direction,wind,wind_gust,pressure,hour_rain,total_rain,UV,solar,station
0,2021-08-31 22:04:00+00:00,2021/09/01,12:04 AM,16.06,3.67,44.0,WNW,7.24,9.01,1019.64,0.0,0.0,0.0,0.0,IDRSING3
1,2021-08-31 22:09:00+00:00,2021/09/01,12:09 AM,16.11,3.78,44.0,WNW,8.69,11.1,1019.98,0.0,0.0,0.0,0.0,IDRSING3
2,2021-08-31 22:14:00+00:00,2021/09/01,12:14 AM,16.0,3.5,43.0,WNW,7.72,10.14,1019.64,0.0,0.0,0.0,0.0,IDRSING3
3,2021-08-31 22:19:00+00:00,2021/09/01,12:19 AM,16.06,3.67,44.0,WNW,8.21,10.46,1019.98,0.0,0.0,0.0,0.0,IDRSING3
4,2021-08-31 22:24:00+00:00,2021/09/01,12:24 AM,16.11,3.72,44.0,WNW,8.53,10.94,1019.98,0.0,0.0,0.0,0.0,IDRSING3
5,2021-08-31 22:29:00+00:00,2021/09/01,12:29 AM,16.0,3.61,44.0,WNW,7.56,10.62,1019.98,0.0,0.0,0.0,0.0,IDRSING3
6,2021-08-31 22:34:00+00:00,2021/09/01,12:34 AM,16.06,3.67,44.0,West,7.4,9.81,1019.98,0.0,0.0,0.0,0.0,IDRSING3
7,2021-08-31 22:39:00+00:00,2021/09/01,12:39 AM,16.11,4.0,44.0,WNW,7.08,9.01,1019.98,0.0,0.0,0.0,0.0,IDRSING3
8,2021-08-31 22:44:00+00:00,2021/09/01,12:44 AM,16.11,4.11,45.0,West,6.6,8.69,1019.98,0.0,0.0,0.0,0.0,IDRSING3
9,2021-08-31 22:49:00+00:00,2021/09/01,12:49 AM,16.06,3.89,44.0,West,6.28,8.21,1019.98,0.0,0.0,0.0,0.0,IDRSING3
10,2021-08-31 22:54:00+00:00,2021/09/01,12:54 AM,16.06,4.22,45.0,West,7.56,9.65,1019.98,0.0,0.0,0.0,0.0,IDRSING3
11,2021-08-31 22:59:00+00:00,2021/09/01,12:59 AM,16.11,4.39,46.0,WNW,9.01,11.26,1019.98,0.0,0.0,0.0,0.0,IDRSING3
12,2021-08-31 23:04:00+00:00,2021/09/01,01:04 AM,16.11,4.39,46.0,West,7.56,10.14,1019.98,0.0,0.0,0.0,0.0,IDRSING3
13,2021-08-31 23:09:00+00:00,2021/09/01,01:09 AM,16.0,4.0,45.0,West,6.11,7.4,1019.98,0.0,0.0,0.0,0.0,IDRSING3
14,2021-08-31 23:14:00+00:00,2021/09/01,01:14 AM,16.0,4.5,46.0,WNW,8.69,11.42,1019.98,0.0,0.0,0.0,0.0,IDRSING3
15,2021-08-31 23:19:00+00:00,2021/09/01,01:19 AM,16.0,4.94,48.0,NW,9.17,12.07,1019.98,0.0,0.0,0.0,0.0,IDRSING3
16,2021-08-31 23:24:00+00:00,2021/09/01,01:24 AM,16.11,5.61,50.0,WNW,9.81,12.55,1019.98,0.0,0.0,0.0,0.0,IDRSING3
17,2021-08-31 23:29:00+00:00,2021/09/01,01:29 AM,16.11,5.94,51.0,WNW,10.46,13.52,1019.98,0.0,0.0,0.0,0.0,IDRSING3
18,2021-08-31 23:34:00+00:00,2021/09/01,01:34 AM,15.94,6.0,51.0,West,9.81,12.87,1019.98,0.0,0.0,0.0,0.0,IDRSING3
19,2021-08-31 23:39:00+00:00,2021/09/01,01:39 AM,15.89,6.33,53.0,WNW,10.14,13.03,1019.98,0.0,0.0,0.0,0.0,IDRSING3
20,2021-08-31 23:44:00+00:00,2021/09/01,01:44 AM,15.78,6.44,54.0,WNW,9.65,12.71,1019.98,0.0,0.0,0.0,0.0,IDRSING3
21,2021-08-31 23:49:00+00:00,2021/09/01,01:49 AM,15.78,6.39,53.0,WNW,8.85,11.75,1019.98,0.0,0.0,0.0,0.0,IDRSING3
22,2021-08-31 23:54:00+00:00,2021/09/01,01:54 AM,15.78,6.67,55.0,NW,10.46,14.0,1019.98,0.0,0.0,0.0,0.0,IDRSING3
23,2021-08-31 23:59:00+00:00,2021/09/01,01:59 AM,15.72,6.39,54.0,WNW,8.04,10.3,1019.98,0.0,0.0,0.0,0.0,IDRSING3
24,2021-09-01 00:04:00+00:00,2021/09/01,02:04 AM,15.67,6.0,53.0,West,7.4,9.65,1019.98,0.0,0.0,0.0,0.0,IDRSING3
25,2021-09-01 00:09:00+00:00,2021/09/01,02:09 AM,15.56,5.83,52.0,West,7.88,9.81,1019.98,0.0,0.0,0.0,0.0,IDRSING3
26,2021-09-01 00:14:00+00:00,2021/09/01,02:14 AM,15.5,5.61,52.0,WNW,8.21,10.62,1020.32,0.0,0.0,0.0,0.0,IDRSING3
27,2021-09-01 00:19:00+00:00,2021/09/01,02:19 AM,15.44,5.33,51.0,WNW,8.69,11.26,1020.32,0.0,0.0,0.0,0.0,IDRSING3
28,2021-09-01 00:24:00+00:00,2021/09/01,02:24 AM,15.33,5.06,50.0,WNW,7.56,9.17,1020.32,0.0,0.0,0.0,0.0,IDRSING3
29,2021-09-01 00:29:00+00:00,2021/09/01,02:29 AM,15.22,4.83,50.0,WNW,7.56,10.46,1020.32,0.0,0.0,0.0,0.0,IDRSING3
30,2021-09-01 00:34:00+00:00,2021/09/01,02:34 AM,15.17,4.78,50.0,WNW,8.37,10.46,1020.32,0.0,0.0,0.0,0.0,IDRSING3
31,2021-09-01 00:39:00+00:00,2021/09/01,02:39 AM,15.11,4.39,49.0,WNW,6.92,8.85,1020.32,0.0,0.0,0.0,0.0,IDRSING3
32,2021-09-01 00:44:00+00:00,2021/09/01,02:44 AM,14.94,3.72,47.0,WNW,6.11,7.56,1020.32,0.0,0.0,0.0,0.0,IDRSING3
33,2021-09-01 00:49:00+00:00,2021/09/01,02:49 AM,14.89,3.61,47.0,West,6.11,7.56,1020.32,0.0,0.0,0.0,0.0,IDRSING3
