,date,Date,Time,temp,dewpoint,humidity,wind_direction,wind,wind_gust,pressure,hour_rain,total_rain,UV,solar,station
0,2024-06-30 22:04:00+00:00,2024/07/01,12:04 AM,19.61,3.56,35.0,NNW,1.77,3.06,1012.19,0.0,0.0,0.0,0.0,IDRSING3
1,2024-06-30 22:09:00+00:00,2024/07/01,12:09 AM,19.61,3.28,34.0,NNW,1.45,2.57,1012.19,0.0,0.0,0.0,0.0,IDRSING3
2,2024-06-30 22:14:00+00:00,2024/07/01,12:14 AM,19.61,3.28,34.0,NNW,1.13,1.93,1012.19,0.0,0.0,0.0,0.0,IDRSING3
3,2024-06-30 22:19:00+00:00,2024/07/01,12:19 AM,19.61,3.72,35.0,NNW,0.97,1.93,1012.19,0.0,0.0,0.0,0.0,IDRSING3
4,2024-06-30 22:24:00+00:00,2024/07/01,12:24 AM,19.61,3.28,34.0,NNW,1.77,2.9,1012.19,0.0,0.0,0.0,0.0,IDRSING3
5,2024-06-30 22:29:00+00:00,2024/07/01,12:29 AM,19.5,2.89,33.0,NNW,2.09,3.7,1012.19,0.0,0.0,0.0,0.0,IDRSING3
6,2024-06-30 22:34:00+00:00,2024/07/01,12:34 AM,19.5,2.56,32.0,NNW,1.77,2.9,1012.19,0.0,0.0,0.0,0.0,IDRSING3
7,2024-06-30 22:39:00+00:00,2024/07/01,12:39 AM,19.61,2.0,31.0,NNW,1.45,2.41,1012.19,0.0,0.0,0.0,0.0,IDRSING3
8,2024-06-30 22:44:00+00:00,2024/07/01,12:44 AM,19.61,1.39,30.0,NNW,1.61,2.57,1012.19,0.0,0.0,0.0,0.0,IDRSING3
9,2024-06-30 22:49:00+00:00,2024/07/01,12:49 AM,19.61,0.78,28.0,NNW,1.93,2.57,1012.19,0.0,0.0,0.0,0.0,IDRSING3
10,2024-06-30 22:54:00+00:00,2024/07/01,12:54 AM,19.72,0.28,27.0,WNW,3.38,4.34,1012.19,0.0,0.0,0.0,0.0,IDRSING3
11,2024-06-30 22:59:00+00:00,2024/07/01,12:59 AM,19.72,-0.22,26.0,WSW,4.18,5.63,1012.19,0.0,0.0,0.0,0.0,IDRSING3
12,2024-06-30 23:04:00+00:00,2024/07/01,01:04 AM,19.72,-1.17,24.0,West,5.15,6.6,1012.19,0.0,0.0,0.0,0.0,IDRSING3
13,2024-06-30 23:09:00+00:00,2024/07/01,01:09 AM,19.78,-1.78,23.0,WSW,5.95,7.88,1012.19,0.0,0.0,0.0,0.0,IDRSING3
14,2024-06-30 23:14:00+00:00,2024/07/01,01:14 AM,19.83,-1.83,23.0,WSW,6.6,8.37,1012.19,0.0,0.0,0.0,0.0,IDRSING3
15,2024-06-30 23:19:00+00:00,2024/07/01,01:19 AM,19.89,-1.22,24.0,West,7.24,9.65,1012.19,0.0,0.0,0.0,0.0,IDRSING3
16,2024-06-30 23:24:00+00:00,2024/07/01,01:24 AM,19.89,-1.22,24.0,West,6.28,8.04,1012.19,0.0,0.0,0.0,0.0,IDRSING3
17,2024-06-30 23:29:00+00:00,2024/07/01,01:29 AM,19.89,-1.22,24.0,West,5.31,6.6,1011.85,0.0,0.0,0.0,0.0,IDRSING3
18,2024-06-30 23:34:00+00:00,2024/07/01,01:34 AM,19.78,-1.28,24.0,West,6.76,8.85,1012.19,0.0,0.0,0.0,0.0,IDRSING3
19,2024-06-30 23:39:00+00:00,2024/07/01,01:39 AM,19.78,-1.17,24.0,West,6.11,8.04,1012.19,0.0,0.0,0.0,0.0,IDRSING3
20,2024-06-30 23:44:00+00:00,2024/07/01,01:44 AM,19.78,-0.94,25.0,WSW,6.92,8.85,1012.19,0.0,0.0,0.0,0.0,IDRSING3
21,2024-06-30 23:49:00+00:00,2024/07/01,01:49 AM,19.67,-1.44,24.0,West,5.31,6.92,1012.19,0.0,0.0,0.0,0.0,IDRSING3
22,2024-06-30 23:54:00+00:00,2024/07/01,01:54 AM,19.61,-1.22,25.0,West,6.6,8.04,1012.53,0.0,0.0,0.0,0.0,IDRSING3
23,2024-06-30 23:59:00+00:00,2024/07/01,01:59 AM,19.56,-1.28,25.0,WSW,5.79,7.56,1012.53,0.0,0.0,0.0,0.0,IDRSING3
24,2024-07-01 00:04:00+00:00,2024/07/01,02:04 AM,19.5,-1.56,24.0,West,5.15,6.6,1012.53,0.0,0.0,0.0,0.0,IDRSING3
25,2024-07-01 00:09:00+00:00,2024/07/01,02:09 AM,19.39,-1.72,24.0,WSW,5.15,6.44,1012.53,0.0,0.0,0.0,0.0,IDRSING3
26,2024-07-01 00:14:00+00:00,2024/07/01,02:14 AM,19.33,-1.72,24.0,West,4.18,5.31,1012.53,0.0,0.0,0.0,0.0,IDRSING3
27,2024-07-01 00:19:00+00:00,2024/07/01,02:19 AM,19.28,-1.72,24.0,WSW,3.54,4.83,1012.19,0.0,0.0,0.0,0.0,IDRSING3
28,2024-07-01 00:24:00+00:00,2024/07/01,02:24 AM,19.28,-1.11,25.0,WSW,4.18,5.47,1012.19,0.0,0.0,0.0,0.0,IDRSING3
29,2024-07-01 00:29:00+00:00,2024/07/01,02:29 AM,19.44,0.56,28.0,West,3.7,4.83,1012.53,0.0,0.0,0.0,0.0,IDRSING3
