,temp,hour_rain,total_rain,date,humidity,wind_direction,wind,wind_gust,pressure,solar,dewpoint,station
0,16.0,0.0,0.0,2018-04-30 22:04:00,71.0,166.0,0.0,0.0,1003.9,0.0,10.7,IDRSING3
1,15.8,0.0,0.0,2018-04-30 22:09:00,71.0,168.0,2.1,3.5,1003.9,0.0,10.6,IDRSING3
2,15.9,0.0,0.0,2018-04-30 22:14:00,72.0,173.0,1.1,1.8,1004.3,0.0,10.8,IDRSING3
3,15.7,0.0,0.0,2018-04-30 22:20:00,71.0,163.0,2.1,3.5,1004.3,0.0,10.5,IDRSING3
4,15.7,0.0,0.0,2018-04-30 22:25:00,71.0,171.0,0.0,0.0,1004.3,0.0,10.5,IDRSING3
5,15.5,0.0,0.0,2018-04-30 22:30:00,78.0,182.0,1.8,1.8,1004.6,0.0,11.7,IDRSING3
6,14.7,0.0,0.0,2018-04-30 22:35:00,83.0,173.0,0.0,0.0,1004.3,0.0,11.8,IDRSING3
7,14.6,0.0,0.0,2018-04-30 22:40:00,77.0,166.0,0.0,0.0,1004.6,0.0,10.6,IDRSING3
8,14.8,0.0,0.0,2018-04-30 22:45:00,75.0,162.0,0.0,0.0,1004.3,0.0,10.4,IDRSING3
9,14.9,0.0,0.0,2018-04-30 22:50:00,74.0,156.0,1.1,3.5,1004.3,0.0,10.3,IDRSING3
10,15.0,0.0,0.0,2018-04-30 22:55:00,74.0,168.0,3.2,3.5,1004.3,0.0,10.4,IDRSING3
11,14.9,0.0,0.0,2018-04-30 23:00:00,73.0,165.0,5.0,5.5,1004.6,0.0,10.1,IDRSING3
12,15.0,0.0,0.0,2018-04-30 23:05:00,71.0,158.0,3.5,7.2,1004.3,0.0,9.8,IDRSING3
13,15.0,0.0,0.0,2018-04-30 23:10:00,71.0,164.0,1.8,1.8,1004.3,0.0,9.8,IDRSING3
14,14.8,0.0,0.0,2018-04-30 23:15:00,74.0,166.0,0.0,0.0,1004.3,0.0,10.2,IDRSING3
15,14.5,0.0,0.0,2018-04-30 23:20:00,76.0,182.0,0.3,1.8,1004.6,0.0,10.3,IDRSING3
16,14.2,0.0,0.0,2018-04-30 23:25:00,77.0,161.0,1.4,3.5,1004.3,0.0,10.2,IDRSING3
17,14.1,0.0,0.0,2018-04-30 23:31:00,80.0,169.0,0.0,0.0,1004.6,0.0,10.7,IDRSING3
18,13.8,0.0,0.0,2018-04-30 23:36:00,82.0,176.0,0.6,1.8,1004.3,0.0,10.8,IDRSING3
19,13.5,0.0,0.0,2018-04-30 23:41:00,87.0,180.0,2.1,3.5,1004.6,0.0,11.4,IDRSING3
20,13.1,0.0,0.0,2018-04-30 23:46:00,95.0,171.0,2.6,3.5,1005.0,0.0,12.3,IDRSING3
21,12.8,0.0,0.0,2018-04-30 23:51:00,97.0,175.0,0.0,0.0,1004.6,0.0,12.4,IDRSING3
22,12.9,0.0,0.0,2018-04-30 23:56:00,87.0,164.0,0.0,0.0,1004.6,0.0,10.8,IDRSING3
23,13.2,0.0,0.0,2018-05-01 00:01:00,87.0,158.0,1.1,1.8,1004.6,0.0,11.1,IDRSING3
24,13.1,0.0,0.0,2018-05-01 00:06:00,89.0,159.0,0.0,0.0,1005.0,0.0,11.3,IDRSING3
25,13.0,0.0,0.0,2018-05-01 00:11:00,94.0,174.0,1.4,1.8,1005.0,0.0,12.0,IDRSING3
26,12.8,0.0,0.0,2018-05-01 00:16:00,93.0,172.0,1.4,1.8,1005.0,0.0,11.7,IDRSING3
27,12.9,0.0,0.0,2018-05-01 00:21:00,87.0,172.0,1.1,1.8,1005.0,0.0,10.8,IDRSING3
28,13.2,0.0,0.0,2018-05-01 00:26:00,84.0,168.0,4.0,5.5,1005.0,0.0,10.5,IDRSING3
29,13.3,0.0,0.0,2018-05-01 00:31:00,84.0,162.0,0.3,1.8,1005.0,0.0,10.6,IDRSING3
30,13.2,0.0,0.0,2018-05-01 00:36:00,88.0,159.0,0.0,0.0,1005.3,0.0,11.2,IDRSING3
