,temp,hour_rain,total_rain,date,humidity,wind_direction,wind,wind_gust,pressure,solar,dewpoint,station
0,-3.1,0.0,0.0,2018-11-30 23:04:52,22.0,163.0,1.1,1.8,1019.9,0.0,-21.8,IDRSING3
1,-3.1,0.0,0.0,2018-11-30 23:09:31,22.0,96.0,2.6,3.5,1019.9,0.0,-21.8,IDRSING3
2,-3.1,0.0,0.0,2018-11-30 23:14:44,22.0,176.0,2.6,7.2,1019.9,0.0,-21.8,IDRSING3
3,-3.1,0.0,0.0,2018-11-30 23:19:48,22.0,114.0,3.2,3.5,1019.9,0.0,-21.8,IDRSING3
4,-3.1,0.0,0.0,2018-11-30 23:24:52,22.0,177.0,4.0,5.5,1019.9,0.0,-21.8,IDRSING3
5,-3.1,0.0,0.0,2018-11-30 23:29:31,22.0,141.0,3.5,7.2,1019.9,0.0,-21.8,IDRSING3
6,-3.1,0.0,0.0,2018-11-30 23:34:44,22.0,116.0,2.1,3.5,1019.9,0.0,-21.8,IDRSING3
7,-3.2,0.0,0.0,2018-11-30 23:39:48,22.0,128.0,4.0,5.5,1019.9,0.0,-21.9,IDRSING3
8,-3.2,0.0,0.0,2018-11-30 23:44:52,21.0,112.0,5.0,9.3,1019.9,0.0,-22.5,IDRSING3
9,-3.3,0.0,0.0,2018-11-30 23:49:31,21.0,128.0,2.9,3.5,1019.9,0.0,-22.5,IDRSING3
10,-3.3,0.0,0.0,2018-11-30 23:54:44,21.0,153.0,3.5,3.5,1019.5,0.0,-22.5,IDRSING3
11,-3.3,0.0,0.0,2018-11-30 23:59:48,21.0,129.0,4.3,5.5,1019.9,0.0,-22.5,IDRSING3
12,-3.4,0.0,0.0,2018-12-01 00:04:52,21.0,169.0,2.1,3.5,1019.9,0.0,-22.6,IDRSING3
13,-3.4,0.0,0.0,2018-12-01 00:09:31,21.0,155.0,3.2,3.5,1019.9,0.0,-22.6,IDRSING3
14,-3.4,0.0,0.0,2018-12-01 00:14:44,20.0,161.0,1.4,3.5,1019.9,0.0,-23.2,IDRSING3
15,-3.4,0.0,0.0,2018-12-01 00:19:48,20.0,155.0,3.2,5.5,1019.9,0.0,-23.2,IDRSING3
16,-3.5,0.0,0.0,2018-12-01 00:24:52,20.0,150.0,2.6,3.5,1019.9,0.0,-23.3,IDRSING3
17,-3.4,0.0,0.0,2018-12-01 00:29:40,20.0,122.0,3.5,5.5,1019.9,0.0,-23.2,IDRSING3
18,-3.5,0.0,0.0,2018-12-01 00:34:44,20.0,161.0,1.4,3.5,1019.9,0.0,-23.3,IDRSING3
19,-3.5,0.0,0.0,2018-12-01 00:39:48,19.0,118.0,2.1,3.5,1019.9,0.0,-23.8,IDRSING3
20,-3.6,0.0,0.0,2018-12-01 00:44:52,19.0,165.0,4.0,5.5,1019.9,0.0,-23.9,IDRSING3
21,-3.6,0.0,0.0,2018-12-01 00:49:40,19.0,155.0,1.8,3.5,1019.9,0.0,-23.9,IDRSING3
22,-3.7,0.0,0.0,2018-12-01 00:54:44,19.0,165.0,5.5,9.3,1019.9,0.0,-24.0,IDRSING3
23,-3.7,0.0,0.0,2018-12-01 00:59:48,19.0,163.0,1.1,1.8,1019.9,0.0,-24.0,IDRSING3
24,-3.8,0.0,0.0,2018-12-01 01:04:52,19.0,123.0,6.1,7.2,1019.9,0.0,-24.1,IDRSING3
25,-3.9,0.0,0.0,2018-12-01 01:09:40,18.0,139.0,1.1,1.8,1019.9,0.0,-24.8,IDRSING3
26,-3.9,0.0,0.0,2018-12-01 01:14:44,18.0,133.0,2.9,3.5,1019.9,0.0,-24.8,IDRSING3
27,-4.0,0.0,0.0,2018-12-01 01:19:48,18.0,142.0,2.9,3.5,1019.5,0.0,-24.8,IDRSING3
28,-4.0,0.0,0.0,2018-12-01 01:24:52,18.0,177.0,2.1,3.5,1019.9,0.0,-24.8,IDRSING3
29,-4.1,0.0,0.0,2018-12-01 01:29:40,18.0,123.0,7.9,11.1,1019.5,0.0,-24.9,IDRSING3
30,-4.1,0.0,0.0,2018-12-01 01:34:44,18.0,116.0,5.5,7.2,1019.5,0.0,-24.9,IDRSING3
31,-4.1,0.0,0.0,2018-12-01 01:39:48,18.0,150.0,6.1,9.3,1019.5,0.0,-24.9,IDRSING3
32,-4.1,0.0,0.0,2018-12-01 01:44:52,18.0,93.0,1.4,3.5,1019.2,0.0,-24.9,IDRSING3
33,-4.2,0.0,0.0,2018-12-01 01:49:40,18.0,124.0,4.0,5.5,1019.2,0.0,-25.0,IDRSING3
34,-4.2,0.0,0.0,2018-12-01 01:54:44,18.0,116.0,4.3,5.5,1019.5,0.0,-25.0,IDRSING3
35,-4.1,0.0,0.0,2018-12-01 01:59:48,18.0,99.0,5.8,9.3,1019.2,0.0,-24.9,IDRSING3
36,-4.1,0.0,0.0,2018-12-01 02:04:52,17.0,116.0,1.8,1.8,1019.2,0.0,-25.6,IDRSING3
37,-4.1,0.0,0.0,2018-12-01 02:09:40,17.0,106.0,3.5,3.5,1019.2,0.0,-25.6,IDRSING3
38,-4.1,0.0,0.0,2018-12-01 02:14:44,18.0,169.0,0.0,0.0,1019.2,0.0,-24.9,IDRSING3
39,-4.1,0.0,0.0,2018-12-01 02:19:48,18.0,154.0,1.1,1.8,1019.2,0.0,-24.9,IDRSING3
40,-4.2,0.0,0.0,2018-12-01 02:24:52,17.0,143.0,2.1,3.5,1019.2,0.0,-25.7,IDRSING3
41,-4.1,0.0,0.0,2018-12-01 02:29:40,17.0,139.0,1.4,3.5,1019.5,0.0,-25.6,IDRSING3
42,-4.1,0.0,0.0,2018-12-01 02:34:34,17.0,123.0,2.6,3.5,1019.5,0.0,-25.6,IDRSING3
43,-4.1,0.0,0.0,2018-12-01 02:39:48,17.0,131.0,3.5,5.5,1019.2,0.0,-25.6,IDRSING3
44,-4.1,0.0,0.0,2018-12-01 02:44:52,17.0,126.0,3.2,3.5,1018.8,0.0,-25.6,IDRSING3
45,-4.1,0.0,0.0,2018-12-01 02:49:40,17.0,139.0,1.1,1.8,1019.2,0.0,-25.6,IDRSING3
46,-4.1,0.0,0.0,2018-12-01 02:54:44,17.0,141.0,2.9,3.5,1018.8,0.0,-25.6,IDRSING3
47,-4.1,0.0,0.0,2018-12-01 02:59:48,17.0,118.0,0.3,1.8,1019.2,0.0,-25.6,IDRSING3
48,-4.1,0.0,0.0,2018-12-01 03:04:52,17.0,146.0,1.8,1.8,1019.2,0.0,-25.6,IDRSING3
49,-4.1,0.0,0.0,2018-12-01 03:09:40,17.0,147.0,4.0,5.5,1019.2,0.0,-25.6,IDRSING3
50,-4.1,0.0,0.0,2018-12-01 03:14:44,17.0,146.0,2.9,5.5,1019.2,0.0,-25.6,IDRSING3
51,-4.0,0.0,0.0,2018-12-01 03:19:48,17.0,158.0,2.1,3.5,1018.8,0.0,-25.5,IDRSING3
52,-4.0,0.0,0.0,2018-12-01 03:24:52,17.0,126.0,0.3,1.8,1018.8,0.0,-25.5,IDRSING3
53,-4.0,0.0,0.0,2018-12-01 03:29:40,17.0,127.0,3.5,3.5,1019.2,0.0,-25.5,IDRSING3
54,-4.0,0.0,0.0,2018-12-01 03:34:44,17.0,132.0,1.8,1.8,1018.8,0.0,-25.5,IDRSING3
55,-3.9,0.0,0.0,2018-12-01 03:39:48,17.0,131.0,1.1,1.8,1018.8,0.0,-25.4,IDRSING3
56,-3.9,0.0,0.0,2018-12-01 03:44:52,17.0,131.0,2.1,3.5,1019.2,0.0,-25.4,IDRSING3
57,-3.9,0.0,0.0,2018-12-01 03:49:40,16.0,127.0,1.4,1.8,1019.2,0.0,-26.1,IDRSING3
58,-3.9,0.0,0.0,2018-12-01 03:54:44,16.0,143.0,1.4,1.8,1019.2,0.0,-26.1,IDRSING3
59,-3.9,0.0,0.0,2018-12-01 03:59:48,16.0,147.0,1.8,1.8,1019.2,0.0,-26.1,IDRSING3
60,-3.8,0.0,0.0,2018-12-01 04:04:52,16.0,103.0,0.3,1.8,1019.2,0.0,-26.0,IDRSING3
61,-3.8,0.0,0.0,2018-12-01 04:09:40,17.0,165.0,1.1,1.8,1019.2,0.0,-25.3,IDRSING3
62,-3.8,0.0,0.0,2018-12-01 04:14:44,17.0,119.0,1.4,3.5,1019.2,0.0,-25.3,IDRSING3
63,-3.8,0.0,0.0,2018-12-01 04:19:48,17.0,131.0,0.0,0.0,1019.2,0.0,-25.3,IDRSING3
64,-3.8,0.0,0.0,2018-12-01 04:24:52,17.0,156.0,0.0,0.0,1019.2,0.0,-25.3,IDRSING3
65,-3.8,0.0,0.0,2018-12-01 04:29:40,17.0,146.0,0.6,1.8,1019.2,0.0,-25.3,IDRSING3
66,-3.8,0.0,0.0,2018-12-01 04:34:44,17.0,160.0,1.1,1.8,1019.2,0.0,-25.3,IDRSING3
67,-3.8,0.0,0.0,2018-12-01 04:39:48,17.0,156.0,0.0,0.0,1019.2,0.0,-25.3,IDRSING3
68,-3.8,0.0,0.0,2018-12-01 04:44:52,17.0,141.0,1.4,1.8,1019.2,0.0,-25.3,IDRSING3
69,-3.8,0.0,0.0,2018-12-01 04:49:40,17.0,143.0,2.1,3.5,1019.2,0.0,-25.3,IDRSING3
70,-3.8,0.0,0.0,2018-12-01 04:54:44,17.0,132.0,0.6,1.8,1019.2,0.0,-25.3,IDRSING3
71,-3.8,0.0,0.0,2018-12-01 04:59:49,17.0,141.0,0.0,0.0,1019.2,0.0,-25.3,IDRSING3
72,-3.8,0.0,0.0,2018-12-01 05:04:53,17.0,155.0,0.0,0.0,1019.2,0.0,-25.3,IDRSING3
73,-3.8,0.0,0.0,2018-12-01 05:09:41,17.0,131.0,1.8,1.8,1019.2,0.0,-25.3,IDRSING3
74,-3.8,0.0,0.0,2018-12-01 05:14:45,17.0,164.0,0.0,0.0,1019.2,0.0,-25.3,IDRSING3
75,-3.8,0.0,0.0,2018-12-01 05:19:49,17.0,161.0,0.3,1.8,1019.2,0.0,-25.3,IDRSING3
76,-3.9,0.0,0.0,2018-12-01 05:24:53,17.0,150.0,0.6,1.8,1019.5,0.0,-25.4,IDRSING3
77,-3.9,0.0,0.0,2018-12-01 05:29:41,17.0,158.0,0.0,0.0,1019.5,0.0,-25.4,IDRSING3
78,-3.9,0.0,0.0,2018-12-01 05:34:45,17.0,149.0,0.0,0.0,1019.5,0.0,-25.4,IDRSING3
79,-3.9,0.0,0.0,2018-12-01 05:39:49,17.0,148.0,0.0,0.0,1019.5,0.0,-25.4,IDRSING3
80,-3.9,0.0,0.0,2018-12-01 05:44:53,18.0,148.0,0.0,0.0,1019.5,0.0,-24.8,IDRSING3
81,-3.9,0.0,0.0,2018-12-01 05:49:41,18.0,147.0,0.0,0.0,1019.5,0.0,-24.8,IDRSING3
82,-3.9,0.0,0.0,2018-12-01 05:54:45,18.0,147.0,0.0,0.0,1019.5,0.0,-24.8,IDRSING3
83,-3.9,0.0,0.0,2018-12-01 05:59:49,18.0,130.0,0.3,1.8,1019.5,0.0,-24.8,IDRSING3
84,-3.9,0.0,0.0,2018-12-01 06:04:53,18.0,130.0,0.3,1.8,1019.5,0.0,-24.8,IDRSING3
85,-3.9,0.0,0.0,2018-12-01 06:09:41,18.0,127.0,1.4,1.8,1019.9,0.0,-24.8,IDRSING3
86,-3.9,0.0,0.0,2018-12-01 06:14:45,18.0,128.0,0.0,0.0,1019.9,0.0,-24.8,IDRSING3
87,-3.9,0.0,0.0,2018-12-01 06:19:49,18.0,128.0,0.0,0.0,1019.5,0.0,-24.8,IDRSING3
88,-3.8,0.0,0.0,2018-12-01 06:24:53,18.0,128.0,0.0,0.0,1019.9,0.0,-24.7,IDRSING3
89,-3.8,0.0,0.0,2018-12-01 06:29:41,18.0,128.0,0.0,0.0,1019.9,0.0,-24.7,IDRSING3
90,-3.8,0.0,0.0,2018-12-01 06:34:45,18.0,128.0,0.0,0.0,1019.9,0.85,-24.7,IDRSING3
91,-3.8,0.0,0.0,2018-12-01 06:39:49,18.0,128.0,0.0,0.0,1020.2,1.71,-24.7,IDRSING3
92,-3.8,0.0,0.0,2018-12-01 06:44:53,18.0,128.0,0.0,0.0,1019.9,2.08,-24.7,IDRSING3
