,temp,hour_rain,total_rain,date,humidity,wind_direction,wind,wind_gust,pressure,solar,dewpoint,station
0,19.8,0.0,0.0,2017-05-31 22:02:00,88.0,314.0,2.9,3.5,1020.5,0.0,17.7,IDRSING3
1,19.7,0.0,0.0,2017-05-31 22:07:00,88.0,314.0,1.4,1.8,1020.5,0.0,17.6,IDRSING3
2,19.4,0.0,0.0,2017-05-31 22:12:00,91.0,314.0,0.6,1.8,1020.2,0.0,17.9,IDRSING3
3,19.2,0.0,0.0,2017-05-31 22:17:00,93.0,314.0,0.3,1.8,1020.5,0.0,18.0,IDRSING3
4,19.0,0.0,0.0,2017-05-31 22:22:00,94.0,314.0,2.1,3.5,1020.5,0.0,17.9,IDRSING3
5,18.8,0.0,0.0,2017-05-31 22:27:00,97.0,314.0,1.4,1.8,1020.5,0.0,18.4,IDRSING3
6,18.3,0.0,0.0,2017-05-31 22:32:00,99.0,314.0,1.1,1.8,1020.5,0.0,18.1,IDRSING3
7,18.2,0.0,0.0,2017-05-31 22:37:00,99.0,314.0,1.8,1.8,1020.5,0.0,18.0,IDRSING3
8,18.3,0.0,0.0,2017-05-31 22:42:00,97.0,314.0,1.4,1.8,1020.9,0.0,17.9,IDRSING3
9,18.7,0.0,0.0,2017-05-31 22:47:00,96.0,314.0,2.9,3.5,1020.5,0.0,18.1,IDRSING3
10,18.8,0.0,0.0,2017-05-31 22:53:00,96.0,314.0,3.2,3.5,1020.5,0.0,18.2,IDRSING3
11,18.7,0.0,0.0,2017-05-31 22:58:00,96.0,314.0,2.1,3.5,1020.5,0.0,18.1,IDRSING3
12,18.7,0.0,0.0,2017-05-31 23:03:00,96.0,314.0,2.9,3.5,1020.5,0.0,18.1,IDRSING3
13,18.5,0.0,0.0,2017-05-31 23:08:00,98.0,314.0,1.8,1.8,1020.9,0.0,18.2,IDRSING3
14,18.4,0.0,0.0,2017-05-31 23:13:00,98.0,314.0,1.4,1.8,1020.9,0.0,18.1,IDRSING3
15,18.3,0.0,0.0,2017-05-31 23:18:00,99.0,314.0,2.1,3.5,1020.9,0.0,18.1,IDRSING3
16,18.2,0.0,0.0,2017-05-31 23:23:00,99.0,314.0,2.1,3.5,1020.9,0.0,18.0,IDRSING3
17,18.3,0.0,0.0,2017-05-31 23:28:00,99.0,314.0,1.8,1.8,1020.9,0.0,18.1,IDRSING3
18,18.3,0.0,0.0,2017-05-31 23:34:00,99.0,314.0,0.0,0.0,1020.9,0.0,18.1,IDRSING3
19,18.2,0.0,0.0,2017-05-31 23:39:00,99.0,314.0,0.0,0.0,1020.9,0.0,18.0,IDRSING3
20,18.3,0.0,0.0,2017-05-31 23:44:00,95.0,314.0,1.4,1.8,1020.9,0.0,17.5,IDRSING3
21,18.6,0.0,0.0,2017-05-31 23:49:00,93.0,314.0,0.3,1.8,1020.9,0.0,17.4,IDRSING3
22,18.6,0.0,0.0,2017-05-31 23:54:00,94.0,314.0,0.0,0.0,1020.9,0.0,17.5,IDRSING3
23,18.5,0.0,0.0,2017-05-31 23:59:00,94.0,314.0,1.8,1.8,1020.9,0.0,17.4,IDRSING3
24,18.7,0.0,0.0,2017-06-01 00:05:00,90.0,315.0,3.5,3.5,1021.2,0.0,17.0,IDRSING3
25,18.7,0.0,0.0,2017-06-01 00:10:00,91.0,315.0,2.1,3.5,1021.2,0.0,17.2,IDRSING3
26,18.8,0.0,0.0,2017-06-01 00:15:00,86.0,310.0,4.3,5.5,1021.2,0.0,16.4,IDRSING3
27,19.0,0.0,0.0,2017-06-01 00:20:00,86.0,307.0,4.0,5.5,1021.2,0.0,16.6,IDRSING3
28,19.0,0.0,0.0,2017-06-01 00:25:00,84.0,293.0,4.7,5.5,1020.9,0.0,16.2,IDRSING3
29,19.0,0.0,0.0,2017-06-01 00:30:00,84.0,298.0,4.7,7.2,1021.2,0.0,16.2,IDRSING3
30,18.9,0.0,0.0,2017-06-01 00:35:00,85.0,310.0,4.7,7.2,1021.2,0.0,16.3,IDRSING3
31,18.8,0.0,0.0,2017-06-01 00:41:00,86.0,257.0,4.3,5.5,1021.2,0.0,16.4,IDRSING3
32,18.6,0.0,0.0,2017-06-01 00:46:00,88.0,277.0,3.5,3.5,1020.9,0.0,16.5,IDRSING3
33,18.4,0.0,0.0,2017-06-01 00:51:00,87.0,295.0,5.0,7.2,1021.2,0.0,16.2,IDRSING3
34,18.5,0.0,0.0,2017-06-01 00:56:00,85.0,284.0,3.2,3.5,1020.9,0.0,15.9,IDRSING3
35,18.4,0.0,0.0,2017-06-01 01:01:00,86.0,296.0,1.1,1.8,1020.9,0.0,16.0,IDRSING3
36,18.4,0.0,0.0,2017-06-01 01:06:00,85.0,299.0,3.5,5.5,1021.2,0.0,15.8,IDRSING3
37,18.1,0.0,0.0,2017-06-01 01:11:00,86.0,301.0,2.1,3.5,1021.2,0.0,15.7,IDRSING3
38,18.0,0.0,0.0,2017-06-01 01:17:00,85.0,302.0,3.2,3.5,1020.9,0.0,15.4,IDRSING3
39,18.1,0.0,0.0,2017-06-01 01:22:00,84.0,305.0,4.3,5.5,1020.9,0.0,15.4,IDRSING3
40,18.1,0.0,0.0,2017-06-01 01:27:00,85.0,282.0,1.8,1.8,1020.9,0.0,15.5,IDRSING3
41,17.9,0.0,0.0,2017-06-01 01:32:00,87.0,282.0,1.8,1.8,1020.9,0.0,15.7,IDRSING3
42,17.9,0.0,0.0,2017-06-01 01:37:00,86.0,282.0,0.6,1.8,1021.2,0.0,15.5,IDRSING3
43,17.9,0.0,0.0,2017-06-01 01:38:00,85.0,282.0,1.1,1.8,1020.9,0.0,15.3,IDRSING3
44,18.0,0.0,0.0,2017-06-01 01:43:00,84.0,282.0,1.4,1.8,1020.9,0.0,15.3,IDRSING3
45,17.9,0.0,0.0,2017-06-01 01:49:00,86.0,282.0,0.0,0.0,1020.9,0.0,15.5,IDRSING3
46,17.8,0.0,0.0,2017-06-01 01:54:00,85.0,282.0,1.4,1.8,1020.9,0.0,15.2,IDRSING3
47,17.8,0.0,0.0,2017-06-01 01:59:00,88.0,282.0,1.8,1.8,1021.2,0.0,15.7,IDRSING3
