,temp,hour_rain,total_rain,date,humidity,wind_direction,wind,wind_gust,pressure,solar,dewpoint,station
0,-0.7,0.0,0.0,2017-11-30 23:08:00,94.0,231.0,7.9,9.3,1008.7,0.0,-1.6,IDRSING3
1,-0.8,0.0,0.0,2017-11-30 23:13:00,93.0,240.0,8.7,9.3,1008.7,0.0,-1.9,IDRSING3
2,-1.0,0.0,0.0,2017-11-30 23:23:00,92.0,246.0,6.4,7.2,1008.7,0.0,-2.1,IDRSING3
3,-0.9,0.0,0.0,2017-11-30 23:28:00,93.0,247.0,10.1,11.1,1008.7,0.0,-2.0,IDRSING3
4,-0.7,0.0,0.0,2017-11-30 23:33:00,96.0,243.0,9.3,11.1,1009.0,0.0,-1.2,IDRSING3
5,-0.8,0.0,0.0,2017-11-30 23:38:00,95.0,256.0,7.2,7.2,1009.0,0.0,-1.5,IDRSING3
6,-1.0,0.0,0.0,2017-11-30 23:43:00,94.0,256.0,8.2,9.3,1009.0,0.0,-1.9,IDRSING3
7,-1.6,0.0,0.0,2017-11-30 23:59:00,94.0,259.0,8.2,9.3,1009.0,0.0,-2.5,IDRSING3
8,-1.1,0.0,0.0,2017-12-01 00:09:00,95.0,237.0,6.4,7.2,1009.0,0.0,-1.8,IDRSING3
9,-1.5,0.0,0.0,2017-12-01 00:14:00,94.0,243.0,5.5,5.5,1009.4,0.0,-2.4,IDRSING3
10,-1.9,0.0,0.0,2017-12-01 00:24:00,95.0,234.0,5.5,5.5,1009.4,0.0,-2.6,IDRSING3
11,-1.9,0.0,0.0,2017-12-01 00:29:00,96.0,244.0,5.0,5.5,1009.4,0.0,-2.4,IDRSING3
12,-2.5,0.0,0.0,2017-12-01 00:44:00,97.0,291.0,6.4,7.2,1009.0,0.0,-2.9,IDRSING3
13,-2.5,0.0,0.0,2017-12-01 00:54:00,97.0,290.0,5.5,7.2,1009.4,0.0,-2.9,IDRSING3
14,-3.1,0.0,0.0,2017-12-01 01:14:00,99.0,256.0,3.5,3.5,1009.7,0.0,-3.3,IDRSING3
15,-2.9,0.0,0.0,2017-12-01 01:20:00,99.0,279.0,5.8,7.2,1009.7,0.0,-3.1,IDRSING3
16,-2.6,0.0,0.0,2017-12-01 01:25:00,99.0,269.0,3.5,3.5,1009.7,0.0,-2.8,IDRSING3
17,-3.2,0.0,0.0,2017-12-01 01:30:00,99.0,268.0,4.3,5.5,1009.7,0.0,-3.4,IDRSING3
18,-3.1,0.0,0.0,2017-12-01 01:40:00,99.0,267.0,3.5,3.5,1009.7,0.0,-3.3,IDRSING3
19,-3.0,0.0,0.0,2017-12-01 01:45:00,99.0,268.0,0.0,0.0,1009.7,0.0,-3.2,IDRSING3
20,-3.3,0.0,0.0,2017-12-01 01:55:00,99.0,268.0,1.1,1.8,1009.7,0.0,-3.5,IDRSING3
21,-3.1,0.0,0.0,2017-12-01 02:00:00,99.0,268.0,0.0,0.0,1010.0,0.0,-3.3,IDRSING3
22,-3.8,0.0,0.0,2017-12-01 02:26:00,99.0,264.0,1.8,1.8,1010.0,0.0,-4.0,IDRSING3
23,-3.8,0.0,0.0,2017-12-01 02:31:00,99.0,264.0,1.8,1.8,1009.7,0.0,-4.0,IDRSING3
24,-3.6,0.0,0.0,2017-12-01 02:41:00,97.0,264.0,1.4,1.8,1010.0,0.0,-4.0,IDRSING3
25,-3.9,0.0,0.0,2017-12-01 02:46:00,99.0,264.0,0.0,0.0,1010.0,0.0,-4.1,IDRSING3
26,-4.4,0.0,0.0,2017-12-01 02:51:00,99.0,264.0,0.0,0.0,1010.0,0.0,-4.6,IDRSING3
27,-4.4,0.0,0.0,2017-12-01 02:56:00,99.0,264.0,1.8,1.8,1010.0,0.0,-4.6,IDRSING3
28,-3.9,0.0,0.0,2017-12-01 03:07:00,99.0,264.0,1.1,1.8,1010.0,0.0,-4.1,IDRSING3
29,-4.3,0.0,0.0,2017-12-01 03:19:00,99.0,264.0,0.0,0.0,1010.4,0.0,-4.5,IDRSING3
30,-4.0,0.0,0.0,2017-12-01 03:24:00,99.0,264.0,0.0,0.0,1010.4,0.0,-4.2,IDRSING3
31,-3.9,0.0,0.0,2017-12-01 03:25:00,99.0,264.0,0.0,0.0,1010.4,0.0,-4.1,IDRSING3
32,-4.1,0.0,0.0,2017-12-01 03:36:00,99.0,264.0,0.3,1.8,1010.7,0.0,-4.3,IDRSING3
33,-3.9,0.0,0.0,2017-12-01 03:38:00,99.0,264.0,0.6,1.8,1010.7,0.0,-4.1,IDRSING3
34,-3.8,0.0,0.0,2017-12-01 03:40:00,99.0,264.0,0.0,0.0,1010.7,0.0,-4.0,IDRSING3
35,-3.7,0.0,0.0,2017-12-01 03:45:00,99.0,264.0,0.0,0.0,1010.7,0.0,-3.9,IDRSING3
36,-3.8,0.0,0.0,2017-12-01 03:46:00,99.0,264.0,0.0,0.0,1010.7,0.0,-4.0,IDRSING3
37,-4.4,0.0,0.0,2017-12-01 03:52:00,99.0,264.0,0.0,0.0,1011.1,0.0,-4.6,IDRSING3
38,-4.5,0.0,0.0,2017-12-01 03:57:00,99.0,264.0,0.0,0.0,1010.7,0.0,-4.7,IDRSING3
39,-4.8,0.0,0.0,2017-12-01 04:02:00,99.0,264.0,0.0,0.0,1011.1,0.0,-5.0,IDRSING3
40,-5.7,0.0,0.0,2017-12-01 04:12:00,99.0,264.0,0.3,1.8,1011.1,0.0,-5.9,IDRSING3
41,-5.6,0.0,0.0,2017-12-01 04:17:00,99.0,264.0,0.0,0.0,1011.1,0.0,-5.8,IDRSING3
42,-5.3,0.0,0.0,2017-12-01 04:22:00,99.0,264.0,0.0,0.0,1011.1,0.0,-5.5,IDRSING3
43,-5.4,0.0,0.0,2017-12-01 04:27:00,99.0,264.0,0.0,0.0,1011.4,0.0,-5.6,IDRSING3
44,-5.3,0.0,0.0,2017-12-01 04:32:00,99.0,264.0,1.1,1.8,1011.1,0.0,-5.5,IDRSING3
45,-5.1,0.0,0.0,2017-12-01 04:37:00,99.0,264.0,0.0,0.0,1011.1,0.0,-5.3,IDRSING3
46,-6.0,0.0,0.0,2017-12-01 04:47:00,99.0,264.0,0.6,1.8,1011.4,0.0,-6.2,IDRSING3
47,-5.7,0.0,0.0,2017-12-01 04:52:00,99.0,264.0,1.4,1.8,1011.7,0.0,-5.9,IDRSING3
48,-5.9,0.0,0.0,2017-12-01 05:03:00,99.0,264.0,0.0,0.0,1011.7,0.0,-6.1,IDRSING3
49,-6.2,0.0,0.0,2017-12-01 05:08:00,99.0,264.0,0.0,0.0,1011.7,0.0,-6.4,IDRSING3
50,-6.6,0.0,0.0,2017-12-01 05:13:00,99.0,264.0,0.0,0.0,1011.4,0.0,-6.8,IDRSING3
51,-5.1,0.0,0.0,2017-12-01 05:28:00,99.0,264.0,1.8,1.8,1011.7,0.0,-5.3,IDRSING3
52,-5.4,0.0,0.0,2017-12-01 05:33:00,99.0,264.0,0.0,0.0,1011.7,0.0,-5.6,IDRSING3
53,-5.8,0.0,0.0,2017-12-01 05:38:00,99.0,264.0,0.0,0.0,1012.1,0.0,-6.0,IDRSING3
54,-5.6,0.0,0.0,2017-12-01 05:43:00,99.0,264.0,0.3,1.8,1012.1,0.0,-5.8,IDRSING3
55,-5.6,0.0,0.0,2017-12-01 05:48:00,99.0,264.0,0.0,0.0,1012.1,0.0,-5.8,IDRSING3
56,-6.1,0.0,0.0,2017-12-01 05:53:00,99.0,264.0,0.0,0.0,1012.1,0.0,-6.3,IDRSING3
57,-6.3,0.0,0.0,2017-12-01 05:58:00,99.0,264.0,0.0,0.0,1012.1,0.0,-6.5,IDRSING3
58,-5.8,0.0,0.0,2017-12-01 06:03:00,99.0,264.0,0.0,0.0,1012.1,0.0,-6.0,IDRSING3
