,date,Date,Time,temp,dewpoint,humidity,wind_direction,wind,wind_gust,pressure,hour_rain,total_rain,UV,solar,station
0,2020-07-31 22:04:00+00:00,2020/08/01,12:04 AM,17.94,6.72,48.0,SSE,0.0,0.0,1007.79,0.0,0.0,0.0,0.0,IDRSING3
1,2020-07-31 22:09:00+00:00,2020/08/01,12:09 AM,17.28,5.72,47.0,SSE,0.0,0.0,1007.79,0.0,0.0,0.0,0.0,IDRSING3
2,2020-07-31 22:14:00+00:00,2020/08/01,12:14 AM,16.94,5.44,47.0,South,0.16,0.32,1008.13,0.0,0.0,0.0,0.0,IDRSING3
3,2020-07-31 22:19:00+00:00,2020/08/01,12:19 AM,16.94,5.61,47.0,South,0.0,0.0,1008.13,0.0,0.0,0.0,0.0,IDRSING3
4,2020-07-31 22:24:00+00:00,2020/08/01,12:24 AM,17.0,5.83,48.0,South,0.16,0.32,1007.79,0.0,0.0,0.0,0.0,IDRSING3
5,2020-07-31 22:29:00+00:00,2020/08/01,12:29 AM,17.33,7.06,51.0,SSW,0.97,1.45,1007.79,0.0,0.0,0.0,0.0,IDRSING3
6,2020-07-31 22:34:00+00:00,2020/08/01,12:34 AM,17.78,7.94,53.0,South,0.0,0.32,1007.79,0.0,0.0,0.0,0.0,IDRSING3
7,2020-07-31 22:39:00+00:00,2020/08/01,12:39 AM,17.94,7.78,51.0,South,0.0,0.0,1007.79,0.0,0.0,0.0,0.0,IDRSING3
8,2020-07-31 22:44:00+00:00,2020/08/01,12:44 AM,17.67,6.83,49.0,South,0.16,0.32,1007.79,0.0,0.0,0.0,0.0,IDRSING3
9,2020-07-31 22:49:00+00:00,2020/08/01,12:49 AM,17.17,5.78,47.0,South,0.0,0.0,1007.79,0.0,0.0,0.0,0.0,IDRSING3
10,2020-07-31 22:54:00+00:00,2020/08/01,12:54 AM,16.78,5.22,46.0,South,0.0,0.0,1007.79,0.0,0.0,0.0,0.0,IDRSING3
11,2020-07-31 22:59:00+00:00,2020/08/01,12:59 AM,16.61,4.83,46.0,South,0.32,0.64,1008.13,0.0,0.0,0.0,0.0,IDRSING3
12,2020-07-31 23:04:00+00:00,2020/08/01,01:04 AM,16.5,4.89,46.0,South,0.0,0.0,1007.79,0.0,0.0,0.0,0.0,IDRSING3
13,2020-07-31 23:09:00+00:00,2020/08/01,01:09 AM,16.72,5.94,49.0,SSW,0.64,1.13,1007.79,0.0,0.0,0.0,0.0,IDRSING3
14,2020-07-31 23:14:00+00:00,2020/08/01,01:14 AM,17.33,7.44,52.0,South,0.0,0.32,1007.79,0.0,0.0,0.0,0.0,IDRSING3
