,date,Date,Time,temp,dewpoint,humidity,wind_direction,wind,wind_gust,pressure,hour_rain,total_rain,UV,solar,station
0,2020-03-31 22:04:00+00:00,2020/04/01,12:04 AM,-1.28,-6.72,67.0,NW,5.79,7.24,1017.61,0.0,0.0,0.0,0.0,IDRSING3
1,2020-03-31 22:09:00+00:00,2020/04/01,12:09 AM,-1.28,-6.72,67.0,NW,4.83,5.63,1017.61,0.0,0.0,0.0,0.0,IDRSING3
2,2020-03-31 22:14:00+00:00,2020/04/01,12:14 AM,-1.28,-6.61,68.0,NW,5.47,6.76,1017.27,0.0,0.0,0.0,0.0,IDRSING3
3,2020-03-31 22:19:00+00:00,2020/04/01,12:19 AM,-1.28,-6.5,68.0,NW,5.79,6.6,1017.27,0.0,0.0,0.0,0.0,IDRSING3
4,2020-03-31 22:24:00+00:00,2020/04/01,12:24 AM,-1.28,-6.5,68.0,NW,6.11,7.08,1017.27,0.0,0.0,0.0,0.0,IDRSING3
5,2020-03-31 22:29:00+00:00,2020/04/01,12:29 AM,-1.28,-6.44,68.0,NW,5.63,7.08,1017.61,0.0,0.0,0.0,0.0,IDRSING3
6,2020-03-31 22:34:00+00:00,2020/04/01,12:34 AM,-1.28,-6.28,69.0,NW,5.79,6.76,1017.61,0.0,0.0,0.0,0.0,IDRSING3
7,2020-03-31 22:39:00+00:00,2020/04/01,12:39 AM,-1.33,-6.33,69.0,NW,5.15,6.28,1017.61,0.0,0.0,0.0,0.0,IDRSING3
8,2020-03-31 22:44:00+00:00,2020/04/01,12:44 AM,-1.39,-6.39,69.0,WNW,4.99,5.79,1017.61,0.0,0.0,0.0,0.0,IDRSING3
9,2020-03-31 22:49:00+00:00,2020/04/01,12:49 AM,-1.61,-6.61,69.0,WNW,6.6,7.88,1017.27,0.0,0.0,0.0,0.0,IDRSING3
10,2020-03-31 22:54:00+00:00,2020/04/01,12:54 AM,-1.5,-6.5,69.0,NW,5.47,6.76,1017.27,0.0,0.0,0.0,0.0,IDRSING3
11,2020-03-31 22:59:00+00:00,2020/04/01,12:59 AM,-1.28,-6.11,70.0,NW,4.99,5.95,1017.27,0.0,0.0,0.0,0.0,IDRSING3
12,2020-03-31 23:04:00+00:00,2020/04/01,01:04 AM,-1.44,-6.28,70.0,NW,4.18,5.15,1017.27,0.0,0.0,0.0,0.0,IDRSING3
13,2020-03-31 23:09:00+00:00,2020/04/01,01:09 AM,-1.72,-6.72,69.0,WNW,5.15,5.95,1017.27,0.0,0.0,0.0,0.0,IDRSING3
14,2020-03-31 23:14:00+00:00,2020/04/01,01:14 AM,-1.89,-6.78,69.0,WNW,4.18,4.99,1017.27,0.0,0.0,0.0,0.0,IDRSING3
15,2020-03-31 23:19:00+00:00,2020/04/01,01:19 AM,-1.94,-6.83,69.0,NW,1.29,1.93,1017.27,0.0,0.0,0.0,0.0,IDRSING3
16,2020-03-31 23:24:00+00:00,2020/04/01,01:24 AM,-2.0,-6.94,69.0,NW,0.16,0.32,1016.93,0.0,0.0,0.0,0.0,IDRSING3
17,2020-03-31 23:29:00+00:00,2020/04/01,01:29 AM,-2.17,-7.22,68.0,WNW,1.61,2.09,1016.93,0.0,0.0,0.0,0.0,IDRSING3
18,2020-03-31 23:34:00+00:00,2020/04/01,01:34 AM,-2.28,-7.28,68.0,NW,3.7,4.34,1016.93,0.0,0.0,0.0,0.0,IDRSING3
19,2020-03-31 23:39:00+00:00,2020/04/01,01:39 AM,-2.06,-6.94,69.0,NW,5.79,6.92,1016.93,0.0,0.0,0.0,0.0,IDRSING3
20,2020-03-31 23:44:00+00:00,2020/04/01,01:44 AM,-1.89,-6.72,70.0,NW,6.11,7.24,1016.93,0.0,0.0,0.0,0.0,IDRSING3
21,2020-03-31 23:49:00+00:00,2020/04/01,01:49 AM,-1.89,-6.72,70.0,NW,6.28,7.56,1016.93,0.0,0.0,0.0,0.0,IDRSING3
22,2020-03-31 23:54:00+00:00,2020/04/01,01:54 AM,-2.06,-6.83,70.0,NW,7.08,9.01,1016.93,0.0,0.0,0.0,0.0,IDRSING3
23,2020-03-31 23:59:00+00:00,2020/04/01,01:59 AM,-2.0,-6.78,70.0,NW,6.92,8.04,1016.93,0.0,0.0,0.0,0.0,IDRSING3
24,2020-04-01 00:04:00+00:00,2020/04/01,02:04 AM,-1.94,-6.56,71.0,NW,7.72,9.33,1016.93,0.0,0.0,0.0,0.0,IDRSING3
25,2020-04-01 00:09:00+00:00,2020/04/01,02:09 AM,-2.0,-6.67,71.0,NW,5.79,7.24,1016.93,0.0,0.0,0.0,0.0,IDRSING3
26,2020-04-01 00:14:00+00:00,2020/04/01,02:14 AM,-2.22,-6.94,71.0,NW,6.44,7.72,1016.93,0.0,0.0,0.0,0.0,IDRSING3
27,2020-04-01 00:19:00+00:00,2020/04/01,02:19 AM,-2.33,-7.11,70.0,NW,4.67,5.95,1016.59,0.0,0.0,0.0,0.0,IDRSING3
28,2020-04-01 00:24:00+00:00,2020/04/01,02:24 AM,-2.5,-7.22,70.0,NW,6.11,7.24,1016.59,0.0,0.0,0.0,0.0,IDRSING3
29,2020-04-01 00:29:00+00:00,2020/04/01,02:29 AM,-2.5,-7.22,70.0,NW,6.44,7.72,1016.93,0.0,0.0,0.0,0.0,IDRSING3
30,2020-04-01 00:34:00+00:00,2020/04/01,02:34 AM,-2.56,-7.28,70.0,NW,5.95,7.24,1016.59,0.0,0.0,0.0,0.0,IDRSING3
